fund_house,scheme_type,scheme_category,scheme_code,scheme_name
ICICI Prudential Mutual Fund,Others,Income,106293,ICICI Prudential Interval Fund Annual Interval Plan I - Dividend
ICICI Prudential Mutual Fund,Others,Income,106762,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106763,ICICI Prudential Interval Fund - Annual Interval Plan II - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120627,ICICI Prudential Interval Fund Annual Interval Plan II - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106760,ICICI Prudential Interval Fund Annual Interval Plan II - Dividend
ICICI Prudential Mutual Fund,Others,Income,106761,ICICI Prudential Interval Fund Annual Interval Plan II - Growth
ICICI Prudential Mutual Fund,Others,Income,106778,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106777,ICICI Prudential Interval Fund - Annual Interval Plan III - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120629,ICICI Prudential Interval Fund Annual Interval Plan III - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106780,ICICI Prudential Interval Fund Annual Interval Plan III - Dividend
ICICI Prudential Mutual Fund,Others,Income,106779,ICICI Prudential Interval Fund Annual Interval Plan III - Growth
ICICI Prudential Mutual Fund,Others,Income,106832,ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,106833,ICICI Prudential Interval Fund - Annual Interval Plan IV - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,106830,ICICI Prudential Interval Fund Annual Interval Plan IV -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120631,ICICI Prudential Interval Fund Annual Interval Plan IV - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,106831,ICICI Prudential Interval Fund Annual Interval Plan IV - Growth
ICICI Prudential Mutual Fund,Others,Income,105650,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,105651,ICICI Prudential Interval Fund - Monthly Interval Plan I - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,120635,ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Dividend
ICICI Prudential Mutual Fund,Others,Income,120636,ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,109680,ICICI Prudential Interval Fund Monthly Interval Plan I - Dividend
ICICI Prudential Mutual Fund,Others,Income,109679,ICICI Prudential Interval Fund Monthly Interval Plan I - Growth
ICICI Prudential Mutual Fund,Others,Income,105711,ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Dividend
ICICI Prudential Mutual Fund,Others,Income,105710,ICICI Prudential Interval Fund - Quarterly Interval Plan I - Retail Growth
ICICI Prudential Mutual Fund,Others,Income,115763,ICICI Prudential Interval Fund Quarterly Interval Plan - 1 Retail Quarterly Dividend Payout
ICICI Prudential Mutual Fund,Others,Income,120638,ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Direct Plan -  Growth
ICICI Prudential Mutual Fund,Others,Income,120637,ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Direct Plan - Dividend
ICICI Prudential Mutual Fund,Others,Income,111405,ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Growth
