fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Kotak Mahindra Mutual Fund,Others,IDF,128365,Kotak FMP Series 146 (388 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128364,Kotak FMP Series 146 (388 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128575,Kotak FMP Series 147 (384 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128574,Kotak FMP Series 147 (384 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128579,Kotak FMP Series 148 (388 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128578,Kotak FMP Series 148 (388 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128758,Kotak FMP Series 149 (386 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128756,Kotak FMP Series 149 (386 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128753,Kotak FMP Series 150 (1109 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,128755,Kotak FMP Series 150 (1109 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128752,Kotak FMP Series 150 (1109 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,128754,Kotak FMP Series 150 (1109 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128871,Kotak FMP Series 151 (388 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128869,Kotak FMP Series 151 (388 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,128868,Kotak FMP Series 151 (388 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128905,Kotak FMP Series 153 (790 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128902,Kotak FMP Series 153 (790 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,128904,Kotak FMP Series 153 (790 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,128909,Kotak FMP Series 154 (390 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,128907,Kotak FMP Series 154 (390 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,128906,Kotak FMP Series 154 (390 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129037,Kotak FMP Series 156 (370 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129034,Kotak FMP Series 156 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129035,Kotak FMP Series 156 (370 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129036,Kotak FMP Series 156 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129340,Kotak FMP Series 157 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129339,Kotak FMP Series 157 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129352,Kotak FMP Series 158 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129353,Kotak FMP Series 158 (370 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129351,Kotak FMP Series 158 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129543,Kotak FMP Series 160 (1039 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129541,Kotak FMP Series 160 (1039 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129542,Kotak FMP Series 160 (1039 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129540,Kotak FMP Series 160 (1039 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129641,Kotak FMP Series 161 (370 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129639,Kotak FMP Series 161 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129640,Kotak FMP Series 161 (370 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129638,Kotak FMP Series 161 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,129767,Kotak FMP Series 162 (370 Days) - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129768,Kotak FMP Series 162 (370 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,129765,Kotak FMP Series 162 (370 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,129766,Kotak FMP Series 162 (370 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,131097,Kotak FMP Series 163 (1100 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,131098,Kotak FMP Series 163 (1100 Days) - Dividend
Kotak Mahindra Mutual Fund,Others,IDF,131096,Kotak FMP Series 163 (1100 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,133663,Kotak FMP Series 171 (1099 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,133662,Kotak FMP Series 171 (1099 Days) - Growth
Kotak Mahindra Mutual Fund,Others,IDF,134841,Kotak FMP Series 175 (1100 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,134839,Kotak FMP Series 175 (1100 Days) - Regular Dividend
Kotak Mahindra Mutual Fund,Others,IDF,134838,Kotak FMP Series 175 (1100 Days) - Regular Growth
Kotak Mahindra Mutual Fund,Others,IDF,135485,Kotak FMP Series 180 (1099 Days) - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,135484,Kotak FMP Series 180 (1099 Days) - Regular Dividend
Kotak Mahindra Mutual Fund,Others,IDF,135488,Kotak FMP Series 180 (1099 Days) - Regular Growth
Kotak Mahindra Mutual Fund,Others,IDF,135608,Kotak FMP Series 181 - Direct Dividend
Kotak Mahindra Mutual Fund,Others,IDF,135609,Kotak FMP Series 181 - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,135611,Kotak FMP Series 181 - Regular Dividend
Kotak Mahindra Mutual Fund,Others,IDF,135610,Kotak FMP Series 181 - Regular Growth
Kotak Mahindra Mutual Fund,Others,IDF,136083,Kotak FMP Series 185 - Direct Growth
Kotak Mahindra Mutual Fund,Others,IDF,136082,Kotak FMP Series 185 - Regular Dividend
Kotak Mahindra Mutual Fund,Others,IDF,136084,Kotak FMP Series 185 - Regular Growth
