fund_house,scheme_type,scheme_category,scheme_code,scheme_name
PGIM India Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138341,PGIM India Ultra Short Duration Fund - Weekly Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138368,DHFL Pramerica Ultra Short Term Fund - Annual Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138354,DHFL Pramerica Ultra Short Term Fund - Annual Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138345,DHFL Pramerica Ultra Short Term Fund - Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138367,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Annual Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138360,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Annual Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138363,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138357,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138366,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Monthly Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138364,DHFL Pramerica Ultra Short Term Fund - Direct Plan - Quarterly Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138349,DHFL Pramerica Ultra Short Term Fund - Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138365,DHFL Pramerica Ultra Short Term Fund - Monthly Bonus
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138353,DHFL Pramerica Ultra Short Term Fund - Quarterly Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,138346,DHFL Pramerica Ultra Short Term Fund - Regular Plan - Bonus
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119784,SBI Magnum Ultra Short Duration Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119828,SBI MAGNUM ULTRA SHORT DURATION FUND - DIRECT PLAN - GROWTH
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,119829,SBI Magnum Ultra Short Duration Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,105080,SBI Magnum Ultra Short Duration Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH
SBI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,103884,SBI Magnum Ultra Short Duration Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149720,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan Fortnightly IDCW
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149721,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan IDCW Daily
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149724,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund) Direct Plan Quarterly IDCW
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149540,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Monthly
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149539,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan -Growth Option
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149719,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)- Direct Plan IDCW Weekly
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149536,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Daily Income Distribution CUM Capital Withdrawal Option
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149535,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Growth Option
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149537,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Monthly Income Distribution CUM Capital Withdrawal Option
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149538,Sundaram Ultra Short Duration Fund (Formerly Known as Principal Ultra Short Term Fund)-Weekly Income Distribution CUM Capital Withdrawal Option
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149722,Sundaram Ultra Short Duration Fund (Formerly Known as Prinicpal Ultra Short Term Fund) Regular Plan Fortnightly IDCW
Sundaram Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,149723,Sundaram Ultra Short Duration Fund (Formerly Known as Prinicpal Ultra Short Term Fund) Regular Plan Quarterly IDCW
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146076,TATA Ultra Short Term Fund Direct Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option  
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146068,TATA Ultra Short Term Fund Direct Plan - Weekly Reinvestment of Income Distribution cum capital withdrawal option   
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146073,TATA Ultra Short Term Fund Regular Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option  
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146074,TATA Ultra Short Term Fund Regular Plan -Weekly Reinvestment of Income Distribution cum capital withdrawal option  
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146069,TATA Ultra Short Term Fund-Direct Plan - Monthly Payout of Income Distribution cum capital withdrawal option 
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146067,TATA Ultra Short Term Fund-Direct Plan - Weekly Payout of Income Distribution cum capital withdrawal option 
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146075,Tata Ultra Short Term Fund-Direct Plan-Growth
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146072,TATA Ultra Short Term Fund-Regular Plan - Monthly Payout of Income Distribution cum capital withdrawal option 
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146071,TATA Ultra Short Term Fund-Regular Plan - Weekly Payout of Income Distribution cum capital withdrawal option 
Tata Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,146070,Tata Ultra Short Term Fund-Regular Plan-Growth
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,139568,UTI Ultra Short Duration Fund - Direct Plan - Annual IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,120744,UTI Ultra Short Duration Fund - Direct Plan - Daily IDCW (Reinvestment)
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,121892,UTI Ultra Short Duration Fund - Direct Plan - Flexi IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,131512,UTI Ultra Short Duration Fund - Direct Plan - Fortnightly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,120746,UTI Ultra Short Duration Fund - Direct Plan - Growth Option
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,147128,UTI Ultra Short Duration Fund - Direct Plan - Half-Yearly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,131444,UTI Ultra Short Duration Fund - Direct Plan - Monthly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,133059,UTI Ultra Short Duration Fund - Direct Plan - Quarterly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,120745,UTI Ultra Short Duration Fund - Direct Plan - Weekly IDCW (Reinvestment)
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,112083,UTI Ultra Short Duration Fund - Discontinued - INSTN GROWTH OPTION
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,112082,UTI - Ultra Short Term Fund - Discontinued - INSTN PLAN - PERIODIC DIVIDEND OPTION
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,134484,UTI Ultra Short Duration Fund - Regular Plan - Annual IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,109501,UTI Ultra Short Duration Fund - Regular Plan - Daily IDCW (Reinvestment)
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,121891,UTI Ultra Short Duration Fund - Regular Plan - Flexi IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,131511,UTI Ultra Short Duration Fund - Regular Plan - Fortnightly IDCW
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,102532,UTI Ultra Short Duration Fund - Regular Plan - Growth Option
UTI Mutual Fund,Debt scheme,Debt Scheme - Ultra Short Duration Fund,134799,UTI Ultra Short Duration Fund - Regular Plan - Half-Yearly IDCW
