Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
Fine Organic,4817.4,26.47,14770.14,0.19,99.77,-37.57,547.17,-26.82,65.34,Chemicals,9.58,40.62,0.02,49.43,75,5.39,0,31.84,14275.68,3.07,502.69,5.53,3.68,0,8,5,1.99,0.99,75,44.47,42.34,3.39,,79.69,42.56,1434.84,97.4,35.97,42.34,91.03,8.99,3.78,-1.06,12.24,0.15
Castrol India,142.95,17.49,14139.5,4.55,225.27,9.22,1333.76,7.41,60.76,Chemicals,7.16,28.07,0.03,45.89,51,8.33,0,31.84,13211.97,98.91,19.96,4.88,1.49,0,5,5,1.65,1.53,51,58.76,26.78,3.39,,-7.22,35.31,60.58,5.7,99.12,26.78,78.03,21.07,11.41,-0.03,16.52,-0.04
Alkyl Amines,2489.9,64.74,12723.55,0.4,49.77,-39.22,409.79,-13.44,27.87,Chemicals,10.88,15.64,0.07,21.46,71.97,2.12,0,31.84,12790.81,5.11,228.75,5.98,0.89,0,3,2,1.14,1.27,71.97,24.62,56.07,3.39,,46.41,17.06,444.9,53.46,84.1,56.07,81.5,24.01,2.86,0.07,1.16,0.01
Aether Industri.,990.75,94.89,12335.9,0,30.2,-1.37,161.11,0.69,18.44,Chemicals,9.91,12.07,0.01,15.91,81.81,1.42,0,31.84,12249.37,12.45,99.96,1.74,4.52,0,4,3,0.61,0.86,81.81,10.88,145.19,3.39,,268.57,12.58,153.24,347.5,98.61,145.19,300.91,2.67,1.87,0.3,13.65,5.26
BASF India,2628.55,37,11378.99,0.3,112.68,-42.73,3374.65,-13.2,20.12,Chemicals,4.21,6.04,0.04,15.19,73.33,3.89,0,31.84,11117.65,4.33,624.04,5.52,0.87,0,7,3,2.15,2.35,73.33,15.17,62.72,3.39,,38.21,6.59,1016.94,25.63,108.23,62.72,71.14,17.07,3.02,0.09,6.58,0.23
Anupam Rasayan,1005.15,60.09,10801.81,0.25,52.25,-2.75,386.39,12.44,12.86,Chemicals,4.55,6.5,0.35,8.82,60.77,3.54,0,31.84,11059.22,10.74,220.91,0.78,1.46,0,7,3,0.48,1.41,60.77,8.27,94.58,3.39,,267.93,10.35,290.85,410.47,167.35,94.58,483.24,25.71,9.79,1.27,3.74,-1.24
Himadri Special,233.35,35.47,10243.96,0.11,86.1,123.29,950.91,-9.15,13.7,Chemicals,4.64,6.67,0.39,11.76,44.96,4.28,0,31.84,10461.28,43.9,50.31,4.97,1.07,0,6,3,1.17,1.64,44.96,9.81,44.17,3.39,,70.18,12.17,83.34,66.45,38.76,44.17,61.04,51.54,2.96,0.6,0.53,0.05
G N F C,623.4,9.89,9688.88,4.81,85,-85.06,1652,-38.72,22.89,Chemicals,1.08,13.13,0,17.31,41.18,16.77,0,31.84,7696.95,15.54,579.49,6.51,2.65,0,5,7,0.92,1.24,41.18,22.01,13.11,3.39,,46.01,11.11,906.72,54.82,42.27,13.11,83.97,35.03,19.67,-0.34,4.11,-0.86
Chemplast Sanmar,528.55,174.87,8356.88,0,-63.97,-162.19,996.41,-29.4,14.86,Chemicals,4.5,3.72,0.55,11.93,54.99,2.29,0,31.84,8184.25,15.81,117.54,5.73,0.67,0,4,4,0.86,3.08,54.99,11.34,10.54,3.39,,-88.55,3.22,89.41,-127.93,211.56,10.54,73.09,6.92,11.45,4.04,26.63,-1.18
Jubilant Ingrev.,518.05,28.88,8251.56,0.97,57.59,-27.45,1075.02,-7.79,16.01,Chemicals,3.09,7.68,0.15,12.1,51.47,5.03,3.45,31.84,8573.72,15.93,167.39,3.38,0.66,0,4,3,1.19,1.51,49.7,11.84,39.07,3.39,,61.46,10.15,259.92,72.15,113.27,39.07,146.35,34.83,6.15,-1.58,6.72,0.75
Archean Chemical,664.3,20.79,8174.41,0.38,94.17,11.26,343.09,-14.29,45.55,Chemicals,5.71,23.17,0.05,44.92,53.6,7.14,0,31.84,8211.82,12.31,116.41,0.95,1.16,72.52,7,5,0.88,1.15,53.6,34.2,29.82,3.39,,49.59,33.38,295.75,29.82,,29.82,,11.55,4.06,-1.41,30.78,0.53
Laxmi Organic,297.85,80.36,7910.21,0.17,38.33,-40.51,733.58,-3.04,11.52,Chemicals,5.59,5.32,0.29,9.18,72.39,1.9,0,31.84,8185.08,26.56,53.24,6.32,1.09,46.01,3,3,1.2,1.65,72.39,10,74.43,3.39,,65.65,6.45,66.68,40.56,91.75,74.43,57.88,25.59,0.48,0.01,1.54,-0.19
Deepak Fertiliz.,603.75,8.6,7621.61,1.66,113.62,-74.64,2313.01,-23.69,26.27,Chemicals,1.5,12.11,0.73,27.04,45.46,14.4,22.55,31.84,10821.84,12.62,401.39,6.66,1.11,0,6,6,1.12,1.99,35.21,29.01,54.6,3.39,,47.85,13.65,796.26,29.93,84.59,54.6,59.91,39.05,13.44,-5.65,2.07,-0.06
Balaji Amines,2226.8,28.26,7215.05,0.45,67.68,-57.12,463.67,-30.81,39.06,Chemicals,4.64,21.87,0.04,23.21,53.7,6.56,0,31.84,7036.29,3.24,479.69,5.65,4.4,0,5,3,1.27,1.19,53.7,25.58,58.79,3.39,,93.64,23.53,922.14,129.27,18.24,58.79,88.72,41.57,4.55,0.1,0.18,-0.16
PCBL Ltd,171.45,15.24,6471.6,3.21,109.35,-13.5,1347.52,-4.37,16.96,Chemicals,2.29,8.37,0.36,15.7,51.41,8.63,0,31.84,7405.45,37.75,74.98,7.45,0.78,0,5,4,1.13,1.81,51.41,17.44,70.21,3.39,,39.21,11.76,137.78,37.92,80.2,70.21,47.92,31.74,6.56,0.22,9.05,0.9
