Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
P I Industries,3621.1,40.69,54938.65,0.28,382.9,45.92,1910.4,23.79,21.69,Agro Chemicals,7.63,15.11,0.01,18.46,46.09,3.04,0,28.91,52742.25,15.17,474.47,2.65,2.78,0,9,5,0.8,1.13,46.09,20.65,43.4,3.09,,71.26,18.91,974.67,100.9,86.1,43.4,143.59,10.77,19.17,0.58,23.8,-0.26
UPL,603,16.65,45261.64,1.66,102,-102.45,8963,-17.17,15.7,Agro Chemicals,1.52,5.42,0.8,13.41,32.35,11.56,0,28.91,63149.64,75.06,397.6,2.1,0.96,0,7,3,0.64,2.79,32.35,12.93,124.16,3.09,,67.91,8.48,583.73,75.6,235.66,124.16,187.11,14.44,37.96,-0.73,15.24,0.85
Sumitomo Chemi.,438.95,51.33,21910,0.27,61.78,-55.36,724.24,-26.53,30.24,Agro Chemicals,9.21,15.79,0.01,23.39,75,2.61,0,28.91,21641.45,49.91,47.68,2.31,1.78,0,7,3,1.1,1.34,75,24.67,98.35,3.09,,138.01,16.75,95.78,168.29,86.84,98.35,156.78,16.96,2.51,0.11,5.5,0
Bayer Crop Sci.,4790.45,30.42,21529.28,2.71,328.5,8.56,1739.6,4.33,33.66,Agro Chemicals,7.94,15.02,0.03,25.91,71.43,4.52,0,34.23,20734.78,4.49,603.47,1.49,1.15,0,8,3,1.14,1.67,71.43,26.98,69.28,6.43,,88.55,20.01,1539.13,207.66,129.37,69.28,267.74,12.32,3.18,0,13.06,0.32
Rallis India,235.25,52.22,4574.88,1.28,63,-4.92,782,-9.39,7.77,Agro Chemicals,2.64,3.25,0.08,5.37,50.09,2.92,0,28.91,4665.53,19.45,88.96,2.23,0.64,0,6,1,1.05,1.63,50.09,7.8,61.34,3.09,,61.89,4.86,94.96,102.05,117.03,61.34,157.74,28.28,7.69,0.6,13.51,-0.96
Sharda Cropchem,449.7,17.59,4057.22,1.33,-88.64,-491.52,637.75,-22.65,20.75,Agro Chemicals,1.82,8.15,0,15.89,74.82,8.08,0,28.91,3878.31,9.02,247.4,2.82,1.06,0,6,3,1,1.81,74.82,17.93,165.42,3.09,,97.16,7.21,377.25,134.39,175.76,165.42,144.73,10.44,2,-0.14,12.75,-0.18
Bharat Rasayan,9435.65,40,3920.77,0.02,7.09,-81.2,239.2,-26.94,19.81,Agro Chemicals,4.39,11.85,0.03,15.38,74.99,3.6,0.64,28.91,3915.07,0.42,2149.81,2.89,2.57,0,6,2,1.14,1.21,74.51,15.69,96.14,3.09,,172.91,13.13,3308.62,204.15,32.54,96.14,140.56,,,,,
Dhanuka Agritech,789.1,16.55,3596.59,0.25,32.94,-32.93,369.07,-6.02,27.01,Agro Chemicals,3.39,15.86,0.03,21.32,70.18,7.91,0,28.91,3625.83,4.56,232.85,2.98,1.53,0,6,4,1.25,1.28,70.18,32.21,72.78,3.09,,108.63,20.42,496.87,133.08,62.22,72.78,122.52,9.03,3.55,-0.5,17.24,0.61
India Pesticides,296.55,28.7,3415.17,0.25,15.89,-61.59,201.44,-7.79,27.8,Agro Chemicals,4.41,16.99,0.01,20.43,67.2,4.93,0,28.91,3361.69,11.52,67.3,2.79,2.85,54.2,5,3,1.04,1.1,67.2,21.41,108.09,3.09,,165.26,18.1,125.08,203.04,80.4,108.09,175.35,30.61,0.39,-0.06,1.81,0
Best Agrolife,1187.1,11.57,2806.87,0.17,90.5,125.52,612.23,32.03,34.43,Agro Chemicals,5.32,15.63,1.08,44.83,50.1,10.9,0,28.91,3286.72,2.36,223.03,2.15,0.56,0,5,4,1.42,2.33,50.1,21.27,72.94,3.09,,157.01,24.28,717.43,191.36,88.19,72.94,206.61,36.5,10.84,-0.64,2.55,-0.03
Astec Lifescienc,1405.1,459.22,2755.29,0.11,-8.18,-171.75,142.85,-22.48,7.82,Agro Chemicals,6.57,2.77,0.81,6.36,66.76,1.03,0,28.91,3094.31,1.96,213.9,1.86,0.39,60.86,3,1,0.67,2.24,66.76,6.62,90.01,3.09,,174.79,3.26,121.17,197.05,161.18,90.01,268.22,21.13,1.95,-0.34,10.15,-0.43
Meghmani Organi.,83.7,26.96,2128.61,1.67,-34.5,-131.63,425.78,-45.65,16.13,Agro Chemicals,1.28,7.45,0.49,14.25,49.5,5.82,0,28.91,2919.87,25.43,65.64,2.67,0.76,0,4,6,0.85,1.8,49.5,13.7,74.84,3.09,,113.46,5.31,73.94,124.17,108.31,74.84,157.64,48.51,1.5,-0.03,0.45,0
NACL Industries,82.25,39.04,1635.47,0.85,-38.06,-355.09,375.91,-20.92,15.17,Agro Chemicals,2.85,5.54,1.26,17.86,63.83,5.04,0,28.91,2286,19.88,28.86,3.54,0.83,0,2,2,1.24,2.98,63.83,10.52,133.11,3.09,,128.22,6.01,37.04,134.6,110.71,133.11,112.19,34.2,1.16,-0.04,0.81,0.34
Insecticid.India,506,27.72,1497.65,0.59,29.03,-23.61,639.95,14.14,9.71,Agro Chemicals,1.64,4.08,0.18,7.07,72.16,5.34,0,28.91,1640.9,2.96,309.38,1.86,0.49,0,3,2,1.17,1.69,72.16,8.14,60.03,3.09,,123.95,5.18,356.44,168.94,118.08,60.03,226.99,11.3,6.02,-0.44,10.53,-0.24
Heranba Inds,366.5,22.45,1466.49,0.34,-5.61,-116.78,275.21,-23.96,,Agro Chemicals,1.81,,0.11,,74.94,6.7,0,28.91,1440.06,4,202.52,,1.59,40.56,0,2,,,74.94,13.69,106.88,3.09,,131.41,8.3,272.76,154.17,78.35,106.88,125.64,24.21,0,0,0.85,-0.36
Punjab Chemicals,1149.4,22.47,1409.16,0.26,21.86,7.9,281.36,3.4,30.93,Agro Chemicals,5.02,10.46,0.33,24.24,39.22,7.3,0,28.91,1491.68,1.23,228.85,4.39,0.79,0,6,4,1.72,2.09,39.22,20.02,51.97,3.09,,48.92,17.67,513.12,68.77,79.73,51.97,96.53,57.6,2.97,-0.02,0.2,-0.78
Bhagiradha Chem.,1206.1,34.26,1255.01,0.33,2.2,-81.64,100.01,-17.84,22.04,Agro Chemicals,3.99,11.77,0.16,18.38,23.52,4.42,0,28.91,1301.87,1.04,302.54,4.41,1.37,0,6,3,1.27,1.25,23.52,15.34,93.61,3.09,,115.33,12.89,489.52,132.15,69.15,93.61,107.69,76.37,0.12,0.02,0,0
Shivalik Rasayan,767.05,64.39,1143.61,0.07,6.48,-34.48,64.47,11.48,9.68,Agro Chemicals,3.08,5.6,0.16,6.56,50.05,2.97,0,28.91,1170.65,1.49,248.72,2.03,1.3,0,3,0,0.44,1.48,50.05,8.91,131.97,3.09,,205.55,6,261.04,162.04,208.53,131.97,238.59,49.6,0.35,0.34,0,0
Dharmaj Crop,217,19.59,733.4,0,14.51,42.39,161.94,18.14,18.87,Agro Chemicals,2.28,10.06,0.16,16.29,70.4,6.72,0,28.91,785.39,3.38,95.11,6.39,2.7,5.69,4,6,1.6,1.02,70.4,13.06,51.27,3.09,,156.65,12.03,165.77,66.12,46.69,51.27,61.54,24.58,5.02,-0.02,0,0
Kilpest India,601.05,18.12,451.27,0.42,7.21,55.56,14.28,22.16,21.6,Agro Chemicals,2.64,12.77,0.01,16,38.43,9.76,0,28.91,394.09,0.75,228.05,0.02,7.49,0,6,5,0.3,1.19,38.43,23.94,200.33,3.09,,247.72,17.96,412.6,200.33,,200.33,,58.5,3.06,0.52,0,0
Aimco Pesticides,118.25,,113.31,0.85,-5.94,-316,45.92,-34.94,-0.39,Agro Chemicals,2.47,-1.29,0.28,-4.19,53.5,-8.96,0,28.91,124.57,0.96,47.9,2.06,0.37,0,2,3,1.32,3.39,53.5,-0.27,43.55,3.09,,50.6,-7.68,,44.48,176.15,43.55,177.08,46.43,0.04,0,0.03,0
Sikko Industries,65.25,36.91,109.62,0.23,0.48,20,14.59,-16.25,16.26,Agro Chemicals,4.6,7.03,0.36,12.85,71.44,3.97,0,28.91,117.74,1.68,14.17,4.3,1.59,0,4,1,1.2,1.73,71.44,9.92,179.57,3.09,,200.64,10.29,23.74,208.47,62.67,179.57,91.57,,,,,
Crop Life Scienc,48,29.59,82.27,0,,,,,10.65,Agro Chemicals,,3.07,0.6,8.04,70.01,5.7,0,28.91,101.73,1.71,,2.33,1.07,0,3,1,1.04,2.51,70.01,7.61,143.05,3.09,,168.94,6.13,,143.23,136.51,143.05,136.69,,,,,
Aristo Bio-Tech,87.2,16.67,59.36,0,1,,88.81,,18.57,Agro Chemicals,1.97,4.62,0.75,23.97,73.37,9.36,0,28.91,80,0.68,44.3,8.04,0.88,0,5,3,2.83,5.19,73.37,13.95,55.62,3.09,,42.81,7.5,72.2,35.39,65.65,55.62,45.42,26.62,0,,0,
Super Crop Safe,8.2,21.84,32.98,0,0.18,148.65,5.81,35.43,6.25,Agro Chemicals,1.28,1.72,0.66,4,38.71,6.96,0,28.91,49.88,4.02,6.4,0.54,0.84,0,9,3,0.38,2.28,38.71,6.14,439.81,3.09,,619.24,5.82,7.35,847.26,302.13,439.81,709.57,61.29,0,0,0,0
Phyto Chem (I),44.1,632,18.96,0,-1.76,-12.1,0.64,-54.61,7.55,Agro Chemicals,1.79,0.51,1.84,1.9,40.4,5.42,0,28.91,38.36,0.43,24.67,1.26,0.85,0,8,0,0.68,3.7,40.4,6.46,275.66,3.09,,377.55,5.2,6.22,467.62,122.87,275.66,314.83,54.78,0,0,0.19,0
Bhaskar Agrochem,34.71,129.14,18.08,0,-2.03,-4.64,7.33,36.75,12.22,Agro Chemicals,1.5,0.5,1.49,1.76,62.2,6,0,28.91,36.03,0.52,23.17,3.2,0.62,0,6,2,1.21,3.78,62.2,1.44,110.77,3.09,,89.3,4.57,11.84,115.82,100.12,110.77,105.18,37.8,0,0,0,0
Interglobe Aviat,2438.9,24.51,94031.08,0,3087.25,389.77,16683.05,29.78,6.9,Air Transport Service,,-1.48,,,67.77,5.72,0,22.01,127074.73,38.55,-163.49,47.91,0.59,0,7,3,1.04,-8.32,67.77,7.71,3.49,3.28,,-56.56,12.3,,3.49,,3.49,,2.02,19.76,0.33,10.37,-0.06
SpiceJet,31.06,,1869.33,0,204.56,125.93,2001.74,-18.52,-24.45,Air Transport Service,,-15.18,,,58.98,-0.12,0,22.01,9183.94,60.18,-53.69,32.26,0.2,0,6,3,0.9,-3.06,58.98,-231.57,45.24,3.28,,-147.17,-0.11,,45.24,,45.24,,40.67,0.35,-0.08,0.01,0
Jet Airways,64.4,,731.58,0,-50.65,87.02,37.57,199.84,,Air Transport Service,,-17.59,,,24.99,-16.7,0,22.01,3945.61,11.36,-1541.1,0,0.12,,3,5,0.01,-0.33,24.99,,38.76,3.28,,-118286.35,-11.7,,38.76,,38.76,,46.66,0.2,-0.02,28.15,0
TAAL Enterprises,2022,19.51,630.12,1.11,8.51,14.38,48.3,35.14,38.14,Air Transport Service,5.08,21.21,0.08,28.03,51.1,8.16,0,22.01,583.66,0.31,398.42,,5.09,0,6,5,1.08,1.19,51.1,26.93,79.82,3.28,,117.39,30.5,963.93,79.82,,79.82,,46.65,2.25,0.04,0,0
Global Vectra,80.7,,112.98,0,-1.39,86.49,117.77,20.78,0.62,Air Transport Service,4.02,-2.31,14.73,-48.53,75,4.18,0,22.01,511.71,1.4,20.07,0,0.44,0,6,5,0.57,25.58,75,0.62,19.82,3.28,,-69.44,2.78,,19.82,,19.82,,25,0,0,0,0
Jet Freight,9.9,,45.94,0.51,-3.03,-397.06,113.55,-14.91,6.01,Air Transport Service,0.74,0.05,0.98,0.14,51.19,1.56,26.02,22.01,98.32,4.64,13.41,,0.82,2.62,3,4,3.16,2.12,37.87,0.77,39.41,3.28,,20.31,0.99,,39.41,,39.41,,48.81,0,0,0,0
MFL India,0.74,,26.66,0,-0.5,-2600,14.09,11641.67,0,Air Transport Service,52.28,0,29.41,0,0.42,-1.26,0,22.01,41.31,36.03,0.01,13.69,3.46,0,2,4,1.46,18.47,0.42,0,80.96,3.28,,183.43,-2.84,,-217.05,351.33,80.96,53.31,99.57,0,0,0,0
United Spirits,1012.45,59.72,73640.64,0,476.7,67.94,2667.8,10.28,19.92,Alcoholic Beverages,12.27,10.33,0.03,17.52,56.67,2.13,1.19,29.77,72940.64,72.74,82.48,1.93,1.03,0,5,3,1.14,1.55,56,25.79,83.72,4.28,,54.15,15.97,185.43,122.39,154.03,83.72,192.7,14.77,15.92,0.54,12.64,-0.06
United Breweries,1546.45,131.31,40888.14,0.48,136.34,-15.97,2274.79,-6.72,11.45,Alcoholic Beverages,10.31,5.35,0,8.27,72.72,1.03,14.45,29.77,40508.47,26.44,149.96,1.57,0.99,0,4,1,1.23,1.54,62.21,10.15,68.49,4.28,,49.57,6.66,188.38,228.05,160.94,68.49,320.51,5.16,6.31,-0.12,14.65,0.24
Radico Khaitan,1257.5,80.3,16813.73,0.24,63.25,8.51,953.92,25.94,11.66,Alcoholic Beverages,7.81,6.38,0.35,9.88,40.27,1.8,0,29.77,17436.6,13.37,160.99,2.91,1.07,0,4,2,0.98,1.49,40.27,9.1,95.7,4.28,,125.66,8.55,238.2,183.66,54.9,95.7,142.86,17.71,18.26,-0.37,23.76,0.25
Sula Vineyards,491.85,44.44,4150.54,1.07,16.38,45.21,107.56,24.55,19.92,Alcoholic Beverages,7.45,10.78,0.35,18.29,27.27,3.35,9.56,29.77,4313.7,8.44,65.98,0.53,0.87,0,7,4,0.6,1.48,24.66,15.47,77.58,4.28,,181.22,16.26,128.75,513.44,375.55,77.58,811.41,55.73,6.78,0.92,10.23,-1.53
Tilaknagar Inds.,215.9,42.67,4133.76,0.05,25.75,2375.96,304.1,32.48,15.55,Alcoholic Beverages,8.29,7.13,0.53,23.89,42.02,2.99,75.82,29.77,4345.12,19.15,26.06,6.54,1,0,6,4,1.15,2.1,10.16,14.65,106.21,4.28,,94.86,12.83,74.8,98.55,76.49,106.21,68.82,47.39,10.57,-0.33,0.01,0
Globus Spirits,892.4,20.78,2570.36,0.67,38.78,4.05,570.09,15.07,18.51,Alcoholic Beverages,2.9,8.64,0.33,14.73,51.01,6.98,0,29.77,2825.93,2.88,307.83,11.45,0.76,0,5,6,1.49,1.6,51.01,12.87,36.68,4.28,,30.99,12.4,545.4,19.8,63.52,36.68,46.65,35.29,4.76,0,8.93,3.45
Som Distilleries,319.8,36.17,2470.79,0.08,33.67,31.22,385.02,51.4,15.65,Alcoholic Beverages,6.59,7.48,0.65,18.14,34.47,3.7,0,29.77,2700.34,7.73,48.56,4.42,0.8,0,7,3,1,2.15,34.47,13.56,64.32,4.28,,64.21,10.96,98.6,83.17,82.9,64.32,101.75,64.29,1.08,-0.02,0.15,0.15
India Glycols,769.7,18.46,2382.99,0.97,51.14,85.36,689.01,-14.73,8.36,Alcoholic Beverages,1.25,2.61,0.58,5.93,61.01,8.02,0,29.77,3381.99,3.1,614.12,2.4,0.48,0,5,3,0.56,2.5,61.01,6.86,59.25,4.28,,29.63,5.59,810.52,59.8,208.55,59.25,209.1,35.86,1.16,-0.01,1.97,-2.2
Piccadily Agro,125.5,46.05,1183.96,0.16,10.96,44.58,218.82,18.83,12.8,Alcoholic Beverages,5.11,3.98,0.66,10.19,70.97,3.87,0,29.77,1331.77,9.43,24.54,2.13,0.37,0,5,5,1.09,2.42,70.97,10.66,41.62,4.28,,63.01,8.69,38.81,102.6,139.86,41.62,200.84,29.02,0,0,0,0
G M Breweries,598.05,10.55,1093.09,1,19.91,23.21,146.86,3.41,19.72,Alcoholic Beverages,1.6,13.24,0,14.95,74.43,12.79,0,29.77,1069.22,1.83,373.01,7.07,0.84,0,5,5,0.83,1.05,74.43,45.77,0.19,4.28,,-0.56,17.77,689.79,42.16,13.44,0.19,55.41,25.26,0.3,-1.36,0.02,0.02
Assoc.Alcohols,436.15,19.47,788.52,0.23,12.35,-7.9,156.35,-15.17,14.6,Alcoholic Beverages,2.17,8.89,0.28,12.33,58.45,6.76,0,29.77,826.78,1.81,201,3.94,1.46,0,4,4,1.49,1.29,58.45,15.91,9.64,4.28,,50.22,10.38,318.3,111.06,44.97,9.64,146.39,41.01,0.55,-0.03,0,-0.01
Jagatjit Inds.,129.5,43.84,601.04,0,2.64,162.13,136.66,17.26,13.37,Alcoholic Beverages,9.22,1.31,3.41,11.19,88.03,5.37,0,29.77,812.63,4.64,14.04,7.25,0.31,0,7,4,1.01,7.67,88.03,11.32,18.04,4.28,,-44.67,8.69,31.16,11.67,61.01,18.04,54.64,11.95,0,0,0.01,-0.03
IFB Agro Inds.,518.4,13.37,485.74,0,1.9,-87.07,231.86,-30.51,12.83,Alcoholic Beverages,0.89,8.06,0.04,9.39,65,15.48,0,29.77,331.91,0.94,585.46,11.41,5.06,0,6,4,2.04,1.11,65,11.08,15.22,4.28,,44.84,8.13,714.78,45.69,11.76,15.22,42.22,33.69,0.2,0.01,1.12,0
Khoday India,96.24,,323.95,0,-0.9,9.09,41.64,7.51,2.12,Alcoholic Beverages,64.53,-1.42,50.48,-61.99,,1.06,,29.77,532.8,3.37,1.49,0.84,1.2,1.64,5,3,0.42,63.37,,3.3,88.29,4.28,,273.56,1.83,,487.61,66.88,88.29,466.2,,,,,
Shri Gang Indus,121.55,11.53,217.94,0,7.29,370.32,78.19,258.67,19.09,Alcoholic Beverages,,9.09,,,37.55,7.34,0,29.77,342,1.79,-24.96,7.64,0.1,0,6,4,0.96,-3.23,37.55,16.51,7.55,4.28,,-88.83,14.93,,-10.37,108.21,7.55,90.28,61.8,0,0,0.64,-0.11
Aurangabad Dist.,230,11.25,188.6,0,10.78,,74.89,,33.91,Alcoholic Beverages,2.84,14.34,0.63,33.96,74.93,12.33,0,29.77,230.1,0.82,81.06,2.56,0.8,0,6,5,1.02,2.37,74.93,27.27,3.9,4.28,,78.03,17.65,193.08,42.36,104.35,3.9,142.81,25.07,0,0,0,0
Comfort Intech,4.7,16.9,150.37,1.06,2.32,393.62,23.3,-39.64,6.97,Alcoholic Beverages,1.25,4.49,0.07,5.98,57.46,5.95,0,29.77,152.5,31.99,3.76,51.69,2.21,0,3,4,0.9,1.3,57.46,8.18,141.84,4.28,,150.17,5.41,4.85,141.84,,141.84,0,42.05,0.48,-1.01,0,0
Ravikumar Distll,25.55,,61.32,0,-0.47,-220.51,7.01,-19.98,-1.47,Alcoholic Beverages,1.41,-0.96,0.89,-2.8,23.59,-2.04,0,29.77,100.26,2.4,18.18,1.29,0.99,0,5,1,0.23,2.98,23.59,-2.05,290.61,4.28,,687.03,-1.57,,397.56,144.5,290.61,251.44,76.4,0,0,0,0
Piccadily Sugar,23.58,,54.82,0,-0.59,-32.61,1.74,-66.21,-20.99,Alcoholic Beverages,3.89,-6.57,0.19,-21.89,74.98,-6.57,0,29.77,56.51,2.33,6.06,1.53,0.27,0,5,3,0.35,3.58,74.98,-28.68,71.16,4.28,,-451.02,-6.97,,-852.3,1183.57,71.16,260.11,25.02,0,0,0,0
Winsome Brew.,10.65,,29.47,0,-0.54,8.47,0.03,,-2.35,Alcoholic Beverages,0.88,-1.57,0.27,-2.42,44.97,-2.85,0,29.77,33.31,2.77,12.1,,1.62,0,2,4,0.01,1.56,44.97,-2.64,0,4.28,,8995.48,-1.83,,0,,0,,54.91,0,0,0.11,0
Silver Oak (I),71.25,,27.01,0,-0.61,-25,0,,-4.16,Alcoholic Beverages,3.53,-4.7,0.99,-15.69,64.71,-2.52,0,29.77,28.53,0.38,20.21,0,1.41,0,3,1,0,3.64,64.71,-4.69,14417.5,4.28,,114245,-2.59,,14417.5,,14417.5,,35.28,0,0,0,0
Samvardh. Mothe.,97.8,43.27,66273.4,0.66,648.12,325.49,22462.18,27.52,9.26,Alcoholic Beverages,2.95,2.94,0.61,7.2,64.77,4.38,1.91,30.92,75367.04,677.64,33.13,6.35,0.69,0,7,5,1.34,2.62,63.53,8.02,39.48,3.41,,2.47,5.34,46.38,-11.37,113.86,39.48,63.01,9.21,10.83,-0.04,15.12,0.38
Tube Investments,2988.15,65.89,57750.76,0.12,283.69,13.91,3897.66,3.21,37.66,Auto Ancillaries,14.61,13.75,0.18,26.97,46.12,2.94,0.03,30.92,57523.23,19.33,204.57,7.54,0.84,0,8,3,1.57,2.42,46.11,25.75,51.93,3.41,,5.66,16.53,482.3,16.05,86.11,51.93,50.23,11.77,29.41,0.49,12.25,0.46
Bosch,18986.8,37.35,55998.98,2.53,409,22.38,4158.4,17.32,17.39,Auto Ancillaries,5.09,9.01,0,13.15,70.54,3.73,0,30.92,53995.28,2.95,3733.76,5.27,1.24,0,6,5,0.94,1.44,70.54,29.48,46.52,3.41,,26.45,12.4,6534.99,14.8,105.12,46.52,73.4,8.89,3.88,0.18,16.7,-0.08
Uno Minda,609.55,50.81,34932.84,0.25,180.17,24.47,3092.66,21.03,19.21,Auto Ancillaries,8.4,9.23,0.34,17.09,70.05,2.8,0,30.92,36154.91,57.31,72.53,6.36,0.75,0,6,4,1.49,1.81,70.05,16.24,55.98,3.41,,36.63,12.24,139.94,37.33,85.92,55.98,67.27,6.7,6.3,-2.58,16.96,2.64
Sona BLW Precis.,592.25,79.48,34671.24,0.47,112.04,50.54,731.38,25.18,22.05,Auto Ancillaries,15.14,13.88,0.13,18.29,29.76,1.67,0,30.92,34896.59,58.54,39.12,3.75,1.36,0,4,5,0.95,1.23,29.76,17.71,83.06,3.41,,86.31,19.07,80.57,105.2,74.48,83.06,96.62,10.35,31.68,6.99,28.2,-3.08
Motherson Wiring,65.95,60.22,29157.21,0.99,123.13,-2.25,1858.79,11.24,43.82,Auto Ancillaries,21.91,17.82,0.28,39.79,61.73,2.28,0,30.92,29493.01,442.11,3.01,4.3,0.72,0,3,3,2.59,2.05,61.73,32.41,41.4,3.41,,49.09,23.16,8.61,63.77,72.95,41.4,95.32,9.33,10.93,1.01,17.77,-1.17
ZF Commercial,14807.9,79.08,28075.78,0.09,99.76,59.87,960.54,20.31,18.87,Auto Ancillaries,11.66,11.08,0,13.86,75,1.79,0,30.92,26907.08,1.9,1270.12,14.81,3.72,0,8,4,1.22,1.17,75,14.51,80.31,3.41,,46.06,15.91,2312.81,46.5,59.59,80.31,25.79,7.58,1.27,-0.05,16.13,0.08
Sundram Fasten.,1274.2,55.06,26774.56,0.52,128.74,-6.19,1410.76,0.05,19.41,Auto Ancillaries,8.88,11.11,0.24,17.35,48.51,2.52,0,30.92,27417.87,21.01,143.52,3.13,1.04,0,6,2,1.27,1.48,48.51,14.69,73.77,3.41,,93.85,14.94,273.36,129.82,79.34,73.77,135.38,20.91,11.95,0.3,18.64,-0.17
Endurance Tech.,1659.6,43.26,23344.41,0.42,163.5,47.39,2449.96,15.9,13.77,Auto Ancillaries,5.29,7.45,0.12,11.31,75,3.14,0,30.92,23571.47,14.07,313.67,7.56,0.89,25.02,5,4,1.39,1.43,75,12.25,48.18,3.41,,22.59,10.88,520.37,6.87,97.31,48.18,56,1.74,7.34,-0.31,15.91,0.36
Exide Inds.,265.75,26.84,22588.75,0.75,224.11,9.82,4245.48,5.56,10.27,Auto Ancillaries,2.03,5.52,0.05,7.28,45.99,5.4,0,30.92,23036.83,85,130.97,3.47,0.55,0,6,3,1.05,1.29,45.99,14.37,29.76,3.41,,50.13,8.43,170.88,85.49,65.42,29.76,121.15,21.36,12.86,0.54,19.77,0.85
JBM Auto,1501.4,137.88,17753.62,0.09,30.28,16.93,946.22,9.39,11.76,Auto Ancillaries,17.24,3.69,1.65,12.9,67.53,1.62,0,30.92,19412.11,11.82,87.09,6.63,0.66,0,4,3,1.14,3.29,67.53,8.99,44.39,3.41,,79.27,8.89,146.07,42.71,58.66,44.39,56.97,30.72,1.73,0.07,0.02,-0.03
Amara Raja Batt.,625.55,13.55,10685.18,0.98,192.48,46.43,2769.94,5.72,20.23,Auto Ancillaries,2.02,10.85,0.02,14.85,28.06,10.29,0,30.92,10692.16,17.08,310.16,4.35,1.11,0,9,5,1.54,1.27,28.06,15.8,27.4,3.41,,60.9,15.49,555.55,72.74,38.13,27.4,83.47,26.24,35.22,-0.97,10.47,1.26
Craftsman Auto,4895.25,38.85,10342.84,0.23,80.84,31.5,1037.63,53.28,20.85,Auto Ancillaries,7.51,7.74,0.9,19.75,54.99,4.44,0,30.92,11535.73,2.11,651.69,2.46,0.52,0,7,4,0.98,2.35,54.99,12.77,61.39,3.41,,52.4,13.45,1359.27,93.5,155.16,61.39,187.27,15.72,12.1,3.31,17.2,0.65
Minda Corp,345.25,29.77,8254.22,0.35,45.21,-13.87,1074.51,6.36,16.47,Auto Ancillaries,5.2,9.86,0.45,19.49,64.73,3.83,0,30.92,8805.42,23.91,66.34,5.43,0.8,0,7,1,1.49,1.82,64.73,19.25,54.4,3.41,,47.47,10.52,131.56,34.39,95.36,54.4,75.34,15.99,5.74,0.68,11.88,0.05
Varroc Engineer,423.1,69.55,6464.39,0,34.12,1441.23,1792.41,10.08,8.2,Auto Ancillaries,6.62,-10.61,1.85,-55.86,75,4.41,0,30.92,7943.38,15.28,63.89,7.24,0.37,0,5,3,0.88,7.99,75,12.12,31.76,3.41,,-11.37,7.59,,-11.54,98.57,31.76,55.28,7.73,5.07,0.03,12.21,0.19
Rolex Rings,2199.05,30.43,5988.74,0,48.44,-2.57,311.33,9.35,31.78,Auto Ancillaries,8.06,19.82,0.11,30.75,55.25,4.21,0,30.92,6035.87,2.72,272.83,2.6,1.41,55.76,8,3,1.18,1.34,55.25,25.36,70.73,3.41,,119.84,25.08,666.07,158.73,67.53,70.73,155.52,7.28,5.01,0.95,32.47,0.71
Suprajit Engg.,426.5,37.38,5902.44,0.54,33.12,21.23,679.68,5.35,15.22,Auto Ancillaries,4.82,7.26,0.59,13.18,44.64,4.1,0,30.92,6513.11,13.84,88.48,3.83,1.32,0,5,2,1.31,1.71,44.64,9.04,61.11,3.41,,137.85,10.97,150.72,104.06,65.99,61.11,108.94,34.34,5.11,0.04,15.9,-0.05
Shriram Pistons,1137.15,14.72,5009.13,0.44,101.45,85.6,716.42,15.53,24.83,Auto Ancillaries,3.28,13.71,0.22,20.77,46.75,10.19,0,30.92,4695.39,4.4,347.15,3.68,1.83,0,8,5,1.24,1.38,46.75,17.56,55.48,3.41,,48.97,20.16,777.75,53.26,114.85,55.48,112.63,,,,,
Sansera Enginee.,944.65,31.53,4999.99,0.26,43.96,23.48,588.15,23.5,14.7,Auto Ancillaries,4.23,7.04,0.55,13.51,35.23,4.79,0,30.92,5607.54,5.29,223.38,3.56,0.73,93.84,7,4,0.98,1.8,35.23,10.87,71.14,3.41,,84.61,11.98,388.09,106.87,95.15,71.14,130.88,10.13,30.34,-7.76,24.3,7.3
Jamna Auto Inds.,121.65,27.48,4851.79,1.56,45.59,21.8,575.26,5.03,27.54,Auto Ancillaries,6.19,14.94,0.04,22.92,49.96,5.05,3.8,30.92,4825.43,39.88,19.66,5.39,0.72,0,7,6,2.06,1.44,48.06,23.89,12.33,3.41,,35.27,22.99,44.26,55.28,33.62,12.33,76.57,32.15,3.29,-2.95,14.61,-0.52
