Company Name,Count,Percentage Allocation,Asset Type,Symbol
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),2,0.76,Equity,CSBBANK
Taj G V K Hotels & Resorts Ltd.,1,0.75,Equity,TAJGVK
Apollo Pipes Ltd.,1,0.75,Equity,APOLLOHOSP
Maharashtra Seamless Ltd.,1,0.75,Equity,MAHABANK
Manappuram Finance Ltd.,1,0.74,Equity,MANAPPURAM
IKIO Lighting Ltd.,1,0.73,Equity,
7.38 GOI Jun 20 2027,1,0.73,Debt,
Granules India Ltd.,1,0.73,Equity,GRANULES
Keystone Realtors Ltd,1,0.73,Equity,RUSTOMJEE
Devyani International Ltd.,1,0.72,Equity,DEVYANI
NCC Ltd.,1,0.72,Equity,NCC
Gujarat Ambuja Exports Ltd.,1,0.72,Equity,FLUOROCHEM
Tejas Networks Ltd.,1,0.72,Equity,TEJASNET
TIPS Industries Ltd.,1,0.72,Equity,TIPSINDLTD
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),2,0.71,Equity,RELIANCE
Gujarat State Fertilizers & Chemicals Ltd.,1,0.71,Equity,FLUOROCHEM
Intellect Design Arena Ltd.,1,0.71,Equity,INTELLECT
Nucleus Software Exports Ltd.,1,0.71,Equity,NUCLEUS
Astec Lifesciences Ltd.,2,0.7,Equity,ASTEC
Rossell India Ltd.,1,0.68,Equity,ROSSELLIND
Sapphire Foods India Ltd.,1,0.67,Equity,SAPPHIRE
Newgen Software Technologies Ltd.,1,0.67,Equity,NEWGEN
Wheels India Ltd.,1,0.66,Equity,SSWL
Poly Medicure Ltd.,1,0.66,Equity,POLYCAB
Laxmi Organic Industries Ltd.,1,0.65,Equity,LXCHEM
Pfizer Ltd.,1,0.65,Equity,PFIZER
Techno Electric & Engineering Company Ltd.,1,0.64,Equity,HCLTECH
Hindustan Construction Company Ltd.,1,0.64,Equity,HINDUNILVR
Biocon Ltd.,1,0.64,Equity,BIOCON
Century Enka Ltd.,1,0.63,Equity,CENTURYPLY
Amara Raja Batteries Ltd.,1,0.63,Equity,AMARAJABAT
Exide Industries Ltd.,1,0.63,Equity,EXIDEIND
Mangalore Refinery & Petrochemicals Ltd.,1,0.62,Equity,MRPL
Mahindra Logistics Ltd.,1,0.61,Equity,KOTAKBANK
J M Financial Ltd.,1,0.61,Equity,BAJFINANCE
Net Receivables/(Payable),15,0.6000000000000002,Others,PETRONET
Expleo Solutions Ltd.,1,0.6,Equity,EXPLEOSOL
Moldtek Packaging Ltd.,2,0.5900000000000001,Equity,
H.G. Infra Engineering Ltd.,1,0.59,Equity,PGHH
Somany Ceramics Ltd.,1,0.59,Equity,SOMANYCERA
Chambal Fertilisers & Chemicals Ltd.,1,0.59,Equity,CHAMBLFERT
Sudarshan Chemical Industries Ltd.,1,0.59,Equity,SUDARSCHEM
Metropolis Healthcare Ltd.,1,0.58,Equity,METROPOLIS
Laurus Labs Ltd.,1,0.57,Equity,LAURUSLABS
Elecon Engineering Company Ltd.,1,0.57,Equity,ELECON
EPL Ltd. (Erstwhile Essel Propack Ltd.),1,0.56,Equity,EPL
Mazagon Dock Shipbuilders Ltd.,1,0.56,Equity,MAZDOCK
Utkarsh Small Finance Bank Ltd.,1,0.55,Equity,
Computer Age Management Services Ltd.,1,0.54,Equity,CAMS
Bank Of India,1,0.53,Equity,HDFCBANK
Garware Technical Fibres Ltd.,1,0.53,Equity,GARFIBRES
Bajaj Consumer Care Ltd.,2,0.52,Equity,BAJFINANCE
Indiamart Intermesh Ltd.,1,0.52,Equity,INDIAMART
Jupiter Wagons Ltd.,1,0.52,Equity,JWL
Flair Writing Industries Ltd.,2,0.52,Equity,
Ashiana Housing Ltd.,1,0.51,Equity,ASHIANA
Honda India Power Products Ltd.,1,0.51,Equity,HONDAPOWER
Radiant Cash Management Services Ltd.,1,0.5,Equity,RADIANTCMS
Motilal Oswal Financial Services Ltd.,1,0.5,Equity,MOTILALOFS
Central Depository Services (India) Ltd.,1,0.5,Equity,CENTRALBK
Kolte Patil Developers Ltd.,1,0.49,Equity,KOLTEPATIL
Procter & Gamble Hygiene & Healthcare Ltd.,1,0.48,Equity,PGHH
Nesco Ltd.,1,0.48,Equity,NESCO
Colgate-Palmolive Ltd.,1,0.48,Equity,
Stove Kraft Ltd.,1,0.46,Equity,STOVEKRAFT
Cash Margin,4,0.44,Debt,RADIANTCMS
Gulf Oil Lubricants India Ltd.,1,0.44,Equity,GULFOILLUB
Finolex Cables Ltd.,1,0.43,Equity,FINCABLES
Butterfly Gandhimathi Appliances Ltd.,2,0.42,Equity,BUTTERFLY
Schneider Electric Infrastructure Ltd.,1,0.42,Equity,SCHNEIDER
UPL Ltd. (Erstwhile United Phosphorus Ltd.),2,0.41,Equity,UPL
Shivalik Bimetal Controls Ltd.,1,0.41,Equity,SBCL
Zydus Wellness Ltd.,1,0.4,Equity,ZYDUSLIFE
Sheela Foam Ltd.,1,0.39,Equity,SFL
Honeywell Automation India Ltd.,1,0.39,Equity,HONAUT
Dilip Buildcon Ltd.,1,0.39,Equity,DBL
Asian Paints Ltd.,1,0.39,Equity,ASIANPAINT
Dodla Dairy Ltd.,1,0.38,Equity,DODLA
Cello World Ltd.,1,0.35,Equity,
Pidilite Industries Ltd.,1,0.34,Equity,PIDILITIND
Nilkamal Ltd.,1,0.33,Equity,NILKAMAL
Finolex Industries Ltd.,1,0.33,Equity,FINCABLES
VST Tillers Tractors Ltd.,1,0.33,Equity,VSTIND
Prudent Corporate Advisory Services Ltd.,1,0.32,Equity,ICICIPRULI
Petronet Lng Ltd.,1,0.31,Equity,PETRONET
Glaxo Smithkline Pharmaceuticals Ltd.,1,0.3,Equity,GLAXO
Inox Green Energy Services Ltd.,1,0.29,Equity,INOXWIND
Aarti Industries Ltd.,1,0.29,Equity,AARTIIND
Jubilant Ingrevia Ltd.,1,0.29,Equity,JUBLFOOD
Goodyear India Ltd.,1,0.27,Equity,
Indoco Remedies Ltd.,1,0.24,Equity,INDOCO
Akzo Nobel India Ltd.,1,0.24,Equity,AKZOINDIA
Delta Corp Ltd.,1,0.23,Equity,DELTACORP
GE Power India Ltd.,1,0.21,Equity,VBL
Aarti Pharmalabs Ltd,2,0.1999999999999999,Equity,AARTIIND
FDC Ltd.,1,0.19,Equity,FDC
Advanced Enzyme Technologies Ltd.,1,0.17,Equity,SPARC
Bajel Projects Limited (BPL),3,0.1699999999999999,Equity,
Vardhman Textiles Ltd.,1,0.16,Equity,VTL
Suprajit Engineering Ltd.,1,0.15,Equity,SUPRAJIT
PSP Projects Ltd.,1,0.15,Equity,PSPPROJECT
E.I.D. Parry India Ltd.,1,0.15,Equity,RELIANCE
Sundaram Clayton Dcd Ltd,2,0.11,Equity,SUNDARMFIN
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,1,0.1,Equity,FLUOROCHEM
Shyam Metalics & Energy Ltd.,1,0.08,Equity,SHYAMMETL
Digidrive Distributors Ltd.,1,0.04,Equity,
Other Margin,1,0.04,Debt,MOTHERSON
Yatharth Hospital & Trauma Care Services Ltd.,1,0.03,Equity,
Cresent Finstock Pvt. Ltd.,1,0.01,Equity,
Chennai Super Kings Cricket Ltd.,1,0.01,Equity,CHENNPETRO
QUANT Mutual Fund (Quant Gilt Fund - Direct - Growth),1,0.01,Debt,SHIGAN
Mukerian Papers Ltd.,1,0.0,Equity,
Sangam Health Care Products Ltd.,1,0.0,Equity,SANGAMIND
5.5 Britannia Industries Ltd. Jun  3 2024,1,0.0,Debt,
Steel Authority Of India Ltd.,1,0.0,Equity,JSWSTEEL
Virtual Dynamics Software Ltd.,1,0.0,Equity,
Noble Brothers Impex Ltd.,1,0.0,Equity,
Balmer Lawrie Freight Containers Ltd.,1,0.0,Equity,BALMLAWRIE
Accrued Interest,1,0.0,Others,
Amex Carbonates & Chemicals Ltd.,1,0.0,Equity,
Current Assets,6,-10.45,Others,
Derivative,5,-10.65,Others,
