Company Name,Count,Percentage Allocation,Asset Type,Symbol
Ajanta Pharma Ltd.,6,6.19,Equity,AJANTPHARM
Muthoot Finance Ltd.,4,6.140000000000001,Equity,MUTHOOTFIN
Cyient Ltd.,4,6.05,Equity,CYIENT
CRISIL Ltd.,3,6.0,Equity,CRISIL
DLF Ltd.,4,5.98,Equity,DLF
Jubilant Foodworks Ltd.,5,5.95,Equity,JUBLFOOD
EIH Ltd.,3,5.87,Equity,EIHOTEL
Td Power Systems Ltd.,5,5.84,Equity,NH
Mrs Bectors Food Specialities Ltd.,4,5.83,Equity,BECTORFOOD
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),8,5.79,Equity,MOTHERSON
APL Apollo Tubes Ltd.,5,5.73,Equity,APLAPOLLO
Nestle India Ltd.,4,5.720000000000001,Equity,
ABB India Ltd.,7,5.720000000000001,Equity,ABB
Safari Industries (India) Ltd.,4,5.67,Equity,SAFARI
Abbott India Ltd.,6,5.66,Equity,
Cipla Ltd.,7,5.640000000000001,Equity,CIPLA
Punjab National Bank,3,5.54,Equity,PNB
KPIT Technologies Ltd.,3,5.54,Equity,KPITTECH
CG Power & Industrial Solutions Ltd.,6,5.5200000000000005,Equity,CGPOWER
Torrent Pharmaceuticals Ltd.,5,5.5,Equity,TORNTPHARM
Hindustan Petroleum Corporation Ltd.,4,5.4,Equity,HINDUNILVR
V-Guard Industries Ltd.,4,5.38,Equity,VGUARD
Kalpataru Projects International Ltd.,5,5.33,Equity,KALPATPOWR
Bandhan Bank Ltd.,5,5.33,Equity,BANDHANBNK
Ccl Products (India) Ltd.,5,5.32,Equity,CCL
Westlife Foodworld Ltd.,5,5.3,Equity,
Union Bank Of India,5,5.27,Equity,UNIONBANK
United Spirits Ltd.,5,5.220000000000001,Equity,MCDOWELL-N
Karur Vysya Bank Ltd.,6,5.17,Equity,KARURVYSYA
Tata Steel Ltd.,7,5.15,Equity,TCS
Canfin Homes Ltd.,5,5.14,Equity,
Home First Finance Company India Ltd.,5,5.0600000000000005,Equity,CANFINHOME
Container Corporation Of India Ltd.,5,5.0,Equity,CONCOR
The Ramco Cements Ltd.,5,4.9,Equity,INDHOTEL
Jindal Stainless Ltd.,3,4.87,Equity,JINDALSTEL
Timken India Ltd.,7,4.83,Equity,TIMKEN
Bharat Forge Ltd.,6,4.81,Equity,BPCL
Gland Pharma Ltd.,4,4.800000000000001,Equity,GLAND
Vesuvius India Ltd.,3,4.76,Equity,VESUVIUS
Tata Communications Ltd.,6,4.71,Equity,TCS
Alkem Laboratories Ltd.,6,4.69,Equity,ALKEM
Kennametal India Ltd.,3,4.63,Equity,
Apollo Hospitals Enterprise Ltd.,4,4.47,Equity,APOLLOHOSP
Rolex Rings Ltd.,5,4.45,Equity,ROLEXRINGS
Ashok Leyland Ltd.,6,4.44,Equity,ASHOKLEY
Max Healthcare Institute Ltd.,4,4.41,Equity,MAXHEALTH
PNC Infratech Ltd.,4,4.32,Equity,PNCINFRA
Sundram Fasteners Ltd.,4,4.3100000000000005,Equity,SUNDRMFAST
Sonata Software Ltd.,4,4.29,Equity,SONATSOFTW
Aditya Birla Fashion & Retail Ltd.,6,4.26,Equity,ABCAPITAL
Jindal Steel & Power Ltd.,4,4.26,Equity,JINDALSTEL
KSB Ltd.,2,4.22,Equity,KSB
Bharat Dynamics Ltd.,5,4.18,Equity,BPCL
ZF Commercial Vehicle Control Systems India Ltd.,3,4.16,Equity,ZFCVINDIA
Suven Pharmaceuticals Ltd.,3,4.15,Equity,SUVENPHAR
Triveni Turbine Ltd.,3,4.14,Equity,TRITURBINE
Grasim Industries Ltd.,4,4.13,Equity,GRASIM
Bata India Ltd.,3,4.03,Equity,BATAINDIA
