Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Consumer Services,,0.67%,Axis Arbitrage Fund,Axis Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Financial Services,,32.89%,Axis Balanced Advantage Fund,Axis Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Sovereign,,10.69%,Axis Balanced Advantage Fund,Axis Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Information Technology,,8.98%,Axis Balanced Advantage Fund,Axis Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Current Assets,,8.24%,Axis Balanced Advantage Fund,Axis Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Automobile and Auto Components,,6.49%,Axis Balanced Advantage Fund,Axis Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Financial Services,,83.43%,Axis Banking & PSU Debt Fund,Axis Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Sovereign,,11.00%,Axis Banking & PSU Debt Fund,Axis Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Current Assets,,3.05%,Axis Banking & PSU Debt Fund,Axis Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Power,,2.28%,Axis Banking & PSU Debt Fund,Axis Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Mutual Funds,,0.23%,Axis Banking & PSU Debt Fund,Axis Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Financial Services,,32.75%,Axis Bluechip Fund,Axis Mutual Fund,Open Ended,Large Cap Fund,Equity
Information Technology,,10.13%,Axis Bluechip Fund,Axis Mutual Fund,Open Ended,Large Cap Fund,Equity
Automobile and Auto Components,,10.06%,Axis Bluechip Fund,Axis Mutual Fund,Open Ended,Large Cap Fund,Equity
Consumer Services,,9.36%,Axis Bluechip Fund,Axis Mutual Fund,Open Ended,Large Cap Fund,Equity
"Oil, Gas & Consumable Fuels",,5.66%,Axis Bluechip Fund,Axis Mutual Fund,Open Ended,Large Cap Fund,Equity
Financial Services,,19.36%,Axis Business Cycles Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,12.22%,Axis Business Cycles Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,10.63%,Axis Business Cycles Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,9.46%,Axis Business Cycles Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
"Oil, Gas & Consumable Fuels",,7.28%,Axis Business Cycles Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,27.56%,Axis Childrens Gift Fund,Axis Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Sovereign,,17.93%,Axis Childrens Gift Fund,Axis Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Information Technology,,7.95%,Axis Childrens Gift Fund,Axis Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Automobile and Auto Components,,7.65%,Axis Childrens Gift Fund,Axis Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Consumer Services,,6.84%,Axis Childrens Gift Fund,Axis Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Financial Services,,56.20%,Axis Corporate Debt Fund,Axis Mutual Fund,Open Ended,Corporate Bond Fund,Debt
Sovereign,,21.57%,Axis Corporate Debt Fund,Axis Mutual Fund,Open Ended,Corporate Bond Fund,Debt
Telecommunication,,6.84%,Axis Corporate Debt Fund,Axis Mutual Fund,Open Ended,Corporate Bond Fund,Debt
Current Assets,,5.61%,Axis Corporate Debt Fund,Axis Mutual Fund,Open Ended,Corporate Bond Fund,Debt
Power,,5.57%,Axis Corporate Debt Fund,Axis Mutual Fund,Open Ended,Corporate Bond Fund,Debt
Sovereign,,97.99%,Axis CRISIL IBX SDL May 2027 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,2.01%,Axis CRISIL IBX SDL May 2027 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,25.26%,Axis ELSS Tax Saver Fund,Axis Mutual Fund,Open Ended,ELSS,Equity
Consumer Services,,15.51%,Axis ELSS Tax Saver Fund,Axis Mutual Fund,Open Ended,ELSS,Equity
Information Technology,,10.65%,Axis ELSS Tax Saver Fund,Axis Mutual Fund,Open Ended,ELSS,Equity
Automobile and Auto Components,,9.74%,Axis ELSS Tax Saver Fund,Axis Mutual Fund,Open Ended,ELSS,Equity
Healthcare,,8.93%,Axis ELSS Tax Saver Fund,Axis Mutual Fund,Open Ended,ELSS,Equity
Mutual Funds,,97.51%,Axis Equity ETFs FoF,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,2.49%,Axis Equity ETFs FoF,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,38.14%,Axis Equity Hybrid Fund,Axis Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Sovereign,,7.93%,Axis Equity Hybrid Fund,Axis Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Information Technology,,7.88%,Axis Equity Hybrid Fund,Axis Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Chemicals,,7.21%,Axis Equity Hybrid Fund,Axis Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Consumer Services,,7.13%,Axis Equity Hybrid Fund,Axis Mutual Fund,Open Ended,Aggressive Hybrid Fund,Hybrid
Current Assets,,37.52%,Axis Equity Saver Fund,Axis Mutual Fund,Open Ended,Equity Savings,Hybrid
Sovereign,,17.12%,Axis Equity Saver Fund,Axis Mutual Fund,Open Ended,Equity Savings,Hybrid
Financial Services,,14.87%,Axis Equity Saver Fund,Axis Mutual Fund,Open Ended,Equity Savings,Hybrid
Information Technology,,7.11%,Axis Equity Saver Fund,Axis Mutual Fund,Open Ended,Equity Savings,Hybrid
Automobile and Auto Components,,4.67%,Axis Equity Saver Fund,Axis Mutual Fund,Open Ended,Equity Savings,Hybrid
Information Technology,,22.67%,Axis ESG Integration Strategy Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,20.90%,Axis ESG Integration Strategy Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Consumer Services,,11.22%,Axis ESG Integration Strategy Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,10.22%,Axis ESG Integration Strategy Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,6.79%,Axis ESG Integration Strategy Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,99.46%,Axis Fixed Term Plan - Series 112 (1143 days),Axis Mutual Fund,Close Ended,FMP,Debt
Current Assets,,0.54%,Axis Fixed Term Plan - Series 112 (1143 days),Axis Mutual Fund,Close Ended,FMP,Debt
Financial Services,,70.14%,Axis Fixed Term Plan - Series 113 (1228 days),Axis Mutual Fund,Close Ended,FMP,Debt
Power,,19.04%,Axis Fixed Term Plan - Series 113 (1228 days),Axis Mutual Fund,Close Ended,FMP,Debt
"Oil, Gas & Consumable Fuels",,5.81%,Axis Fixed Term Plan - Series 113 (1228 days),Axis Mutual Fund,Close Ended,FMP,Debt
Current Assets,,5.01%,Axis Fixed Term Plan - Series 113 (1228 days),Axis Mutual Fund,Close Ended,FMP,Debt
Financial Services,,75.74%,Axis Fixed Term Plan - Series 118 (100 days),Axis Mutual Fund,Close Ended,FMP,Debt
Fast Moving Consumer Goods,,8.04%,Axis Fixed Term Plan - Series 118 (100 days),Axis Mutual Fund,Close Ended,FMP,Debt
"Media, Entertainment & Publication",,8.04%,Axis Fixed Term Plan - Series 118 (100 days),Axis Mutual Fund,Close Ended,FMP,Debt
Consumer Services,,8.04%,Axis Fixed Term Plan - Series 118 (100 days),Axis Mutual Fund,Close Ended,FMP,Debt
Current Assets,,0.15%,Axis Fixed Term Plan - Series 118 (100 days),Axis Mutual Fund,Close Ended,FMP,Debt
Financial Services,,28.75%,Axis Flexi Cap Fund,Axis Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Consumer Services,,11.18%,Axis Flexi Cap Fund,Axis Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Automobile and Auto Components,,10.50%,Axis Flexi Cap Fund,Axis Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Information Technology,,9.12%,Axis Flexi Cap Fund,Axis Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Healthcare,,8.40%,Axis Flexi Cap Fund,Axis Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Sovereign,,74.41%,Axis Floater Fund,Axis Mutual Fund,Open Ended,Floater Fund,Debt
Financial Services,,16.15%,Axis Floater Fund,Axis Mutual Fund,Open Ended,Floater Fund,Debt
Current Assets,,7.26%,Axis Floater Fund,Axis Mutual Fund,Open Ended,Floater Fund,Debt
Services,,1.80%,Axis Floater Fund,Axis Mutual Fund,Open Ended,Floater Fund,Debt
Mutual Funds,,0.38%,Axis Floater Fund,Axis Mutual Fund,Open Ended,Floater Fund,Debt
Financial Services,,27.19%,Axis Focused 25 Fund,Axis Mutual Fund,Open Ended,Focused Fund,Equity
Consumer Services,,14.06%,Axis Focused 25 Fund,Axis Mutual Fund,Open Ended,Focused Fund,Equity
Information Technology,,11.83%,Axis Focused 25 Fund,Axis Mutual Fund,Open Ended,Focused Fund,Equity
Chemicals,,10.15%,Axis Focused 25 Fund,Axis Mutual Fund,Open Ended,Focused Fund,Equity
Healthcare,,9.52%,Axis Focused 25 Fund,Axis Mutual Fund,Open Ended,Focused Fund,Equity
Sovereign,,93.96%,Axis Gilt Fund,Axis Mutual Fund,Open Ended,Gilt Fund,Debt
Current Assets,,6.01%,Axis Gilt Fund,Axis Mutual Fund,Open Ended,Gilt Fund,Debt
Miscellaneous,,0.03%,Axis Gilt Fund,Axis Mutual Fund,Open Ended,Gilt Fund,Debt
Mutual Funds,,96.81%,Axis Global Equity Alpha Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,3.19%,Axis Global Equity Alpha Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Mutual Funds,,99.32%,Axis Global Innovation Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,0.68%,Axis Global Innovation Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Miscellaneous,,97.92%,Axis Gold ETF,Axis Mutual Fund,Open Ended,ETFs - Gold,Other
Current Assets,,2.08%,Axis Gold ETF,Axis Mutual Fund,Open Ended,ETFs - Gold,Other
Mutual Funds,,98.08%,Axis Gold Fund,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,1.92%,Axis Gold Fund,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Mutual Funds,,96.09%,Axis Greater China Equity Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,3.91%,Axis Greater China Equity Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Financial Services,,20.58%,Axis Growth Opportunities Fund,Axis Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Information Technology,,14.60%,Axis Growth Opportunities Fund,Axis Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Capital Goods,,10.28%,Axis Growth Opportunities Fund,Axis Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Automobile and Auto Components,,9.64%,Axis Growth Opportunities Fund,Axis Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Healthcare,,8.57%,Axis Growth Opportunities Fund,Axis Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Current Assets,,40.39%,Axis India Manufacturing Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,14.44%,Axis India Manufacturing Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,12.69%,Axis India Manufacturing Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,12.47%,Axis India Manufacturing Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Metals & Mining,,5.64%,Axis India Manufacturing Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,83.21%,Axis Long Duration Fund,Axis Mutual Fund,Open Ended,Long Duration Fund,Debt
Current Assets,,16.74%,Axis Long Duration Fund,Axis Mutual Fund,Open Ended,Long Duration Fund,Debt
Mutual Funds,,0.05%,Axis Long Duration Fund,Axis Mutual Fund,Open Ended,Long Duration Fund,Debt
Capital Goods,,17.85%,Axis Midcap Fund,Axis Mutual Fund,Open Ended,Mid Cap Fund,Equity
Financial Services,,16.46%,Axis Midcap Fund,Axis Mutual Fund,Open Ended,Mid Cap Fund,Equity
Automobile and Auto Components,,14.29%,Axis Midcap Fund,Axis Mutual Fund,Open Ended,Mid Cap Fund,Equity
Consumer Services,,11.98%,Axis Midcap Fund,Axis Mutual Fund,Open Ended,Mid Cap Fund,Equity
Chemicals,,8.12%,Axis Midcap Fund,Axis Mutual Fund,Open Ended,Mid Cap Fund,Equity
Financial Services,,33.64%,Axis Multi Asset Allocation Fund,Axis Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Mutual Funds,,12.49%,Axis Multi Asset Allocation Fund,Axis Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Automobile and Auto Components,,9.24%,Axis Multi Asset Allocation Fund,Axis Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Information Technology,,6.95%,Axis Multi Asset Allocation Fund,Axis Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Consumer Services,,6.69%,Axis Multi Asset Allocation Fund,Axis Mutual Fund,Open Ended,Multi Asset Allocation,Hybrid
Financial Services,,21.04%,Axis Multicap Fund,Axis Mutual Fund,Open Ended,Multi Cap Fund,Equity
Information Technology,,15.57%,Axis Multicap Fund,Axis Mutual Fund,Open Ended,Multi Cap Fund,Equity
Automobile and Auto Components,,15.34%,Axis Multicap Fund,Axis Mutual Fund,Open Ended,Multi Cap Fund,Equity
Healthcare,,9.86%,Axis Multicap Fund,Axis Mutual Fund,Open Ended,Multi Cap Fund,Equity
Realty,,7.77%,Axis Multicap Fund,Axis Mutual Fund,Open Ended,Multi Cap Fund,Equity
Mutual Funds,,96.54%,Axis NASDAQ 100 Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,3.46%,Axis NASDAQ 100 Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Financial Services,,32.64%,Axis Nifty 100 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,11.40%,Axis Nifty 100 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,10.58%,Axis Nifty 100 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,9.88%,Axis Nifty 100 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,6.43%,Axis Nifty 100 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,35.12%,Axis NIFTY 50 ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,13.62%,Axis NIFTY 50 ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,11.40%,Axis NIFTY 50 ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,9.17%,Axis NIFTY 50 ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,6.47%,Axis NIFTY 50 ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Financial Services,,35.10%,Axis Nifty 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,13.57%,Axis Nifty 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,11.36%,Axis Nifty 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,9.12%,Axis Nifty 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,6.44%,Axis Nifty 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,99.80%,Axis NIFTY Bank ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,0.20%,Axis NIFTY Bank ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Healthcare,,99.81%,Axis NIFTY Healthcare ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,0.19%,Axis NIFTY Healthcare ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,37.63%,Axis NIFTY India Consumption ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,19.30%,Axis NIFTY India Consumption ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Consumer Durables,,13.77%,Axis NIFTY India Consumption ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Telecommunication,,10.10%,Axis NIFTY India Consumption ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Consumer Services,,8.35%,Axis NIFTY India Consumption ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,99.80%,Axis NIFTY IT ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,0.20%,Axis NIFTY IT ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,99.73%,Axis NIFTY IT Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,0.27%,Axis NIFTY IT Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,28.32%,Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Capital Goods,,12.19%,Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,10.55%,Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Healthcare,,9.55%,Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,5.54%,Axis Nifty Midcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,20.31%,Axis Nifty Next 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Fast Moving Consumer Goods,,12.67%,Axis Nifty Next 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Consumer Services,,11.60%,Axis Nifty Next 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Capital Goods,,11.13%,Axis Nifty Next 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Chemicals,,6.57%,Axis Nifty Next 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,94.95%,Axis Nifty SDL September 2026 Debt Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,5.05%,Axis Nifty SDL September 2026 Debt Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Financial Services,,27.49%,Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Capital Goods,,13.82%,Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Information Technology,,11.23%,Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Healthcare,,8.72%,Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Automobile and Auto Components,,6.87%,Axis Nifty Smallcap 50 Index Fund,Axis Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,95.86%,Axis Overnight Fund,Axis Mutual Fund,Open Ended,Overnight Fund,Debt
Sovereign,,4.14%,Axis Overnight Fund,Axis Mutual Fund,Open Ended,Overnight Fund,Debt
Financial Services,,27.83%,Axis Quant Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,13.66%,Axis Quant Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,11.23%,Axis Quant Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,10.45%,Axis Quant Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Power,,7.86%,Axis Quant Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,40.22%,Axis Regular Saver Fund,Axis Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Financial Services,,33.86%,Axis Regular Saver Fund,Axis Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Automobile and Auto Components,,5.60%,Axis Regular Saver Fund,Axis Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Information Technology,,3.73%,Axis Regular Saver Fund,Axis Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Current Assets,,2.63%,Axis Regular Saver Fund,Axis Mutual Fund,Open Ended,Conservative Hybrid Fund,Hybrid
Financial Services,,22.27%,Axis Retirement Savings Fund - Aggressive Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Sovereign,,12.24%,Axis Retirement Savings Fund - Aggressive Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Information Technology,,10.81%,Axis Retirement Savings Fund - Aggressive Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Chemicals,,7.37%,Axis Retirement Savings Fund - Aggressive Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Capital Goods,,6.14%,Axis Retirement Savings Fund - Aggressive Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Sovereign,,28.03%,Axis Retirement Savings Fund - Conservative Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,26.94%,Axis Retirement Savings Fund - Conservative Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Information Technology,,9.61%,Axis Retirement Savings Fund - Conservative Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Automobile and Auto Components,,7.73%,Axis Retirement Savings Fund - Conservative Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Current Assets,,7.21%,Axis Retirement Savings Fund - Conservative Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,27.13%,Axis Retirement Savings Fund - Dynamic Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Automobile and Auto Components,,8.98%,Axis Retirement Savings Fund - Dynamic Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Information Technology,,8.48%,Axis Retirement Savings Fund - Dynamic Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Healthcare,,8.39%,Axis Retirement Savings Fund - Dynamic Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Consumer Services,,5.61%,Axis Retirement Savings Fund - Dynamic Plan,Axis Mutual Fund,Open Ended,Retirement Fund,Solution Oriented
Financial Services,,38.94%,AXIS S&P BSE SENSEX ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,15.06%,AXIS S&P BSE SENSEX ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
"Oil, Gas & Consumable Fuels",,10.83%,AXIS S&P BSE SENSEX ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Fast Moving Consumer Goods,,9.00%,AXIS S&P BSE SENSEX ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Automobile and Auto Components,,5.36%,AXIS S&P BSE SENSEX ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Miscellaneous,,97.49%,Axis Silver ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Current Assets,,2.51%,Axis Silver ETF,Axis Mutual Fund,Open Ended,ETFs - Others,Other
Mutual Funds,,98.61%,Axis Silver Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,1.39%,Axis Silver Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,14.17%,Axis Small Cap Fund,Axis Mutual Fund,Open Ended,Small cap Fund,Equity
Healthcare,,12.57%,Axis Small Cap Fund,Axis Mutual Fund,Open Ended,Small cap Fund,Equity
Capital Goods,,11.62%,Axis Small Cap Fund,Axis Mutual Fund,Open Ended,Small cap Fund,Equity
Automobile and Auto Components,,10.55%,Axis Small Cap Fund,Axis Mutual Fund,Open Ended,Small cap Fund,Equity
Information Technology,,9.80%,Axis Small Cap Fund,Axis Mutual Fund,Open Ended,Small cap Fund,Equity
Financial Services,,17.96%,Axis Special Situations Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Consumer Services,,17.89%,Axis Special Situations Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Chemicals,,12.00%,Axis Special Situations Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,11.04%,Axis Special Situations Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,9.49%,Axis Special Situations Fund,Axis Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,38.64%,Axis Strategic Bond Fund,Axis Mutual Fund,Open Ended,Medium Duration Fund,Debt
Financial Services,,28.82%,Axis Strategic Bond Fund,Axis Mutual Fund,Open Ended,Medium Duration Fund,Debt
Realty,,6.88%,Axis Strategic Bond Fund,Axis Mutual Fund,Open Ended,Medium Duration Fund,Debt
Construction,,5.15%,Axis Strategic Bond Fund,Axis Mutual Fund,Open Ended,Medium Duration Fund,Debt
Current Assets,,3.97%,Axis Strategic Bond Fund,Axis Mutual Fund,Open Ended,Medium Duration Fund,Debt
Financial Services,,77.29%,Axis Treasury Advantage Fund,Axis Mutual Fund,Open Ended,Low Duration Fund,Debt
Current Assets,,10.29%,Axis Treasury Advantage Fund,Axis Mutual Fund,Open Ended,Low Duration Fund,Debt
Sovereign,,7.54%,Axis Treasury Advantage Fund,Axis Mutual Fund,Open Ended,Low Duration Fund,Debt
Construction,,2.15%,Axis Treasury Advantage Fund,Axis Mutual Fund,Open Ended,Low Duration Fund,Debt
Realty,,1.03%,Axis Treasury Advantage Fund,Axis Mutual Fund,Open Ended,Low Duration Fund,Debt
Financial Services,,65.74%,Axis Ultra Short Term Fund,Axis Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Sovereign,,6.67%,Axis Ultra Short Term Fund,Axis Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Diversified,,5.74%,Axis Ultra Short Term Fund,Axis Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Realty,,3.98%,Axis Ultra Short Term Fund,Axis Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Construction,,3.91%,Axis Ultra Short Term Fund,Axis Mutual Fund,Open Ended,Ultra Short Duration Fund,Debt
Mutual Funds,,78.68%,Axis US Treasury Dynamic Bond ETF Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Current Assets,,21.32%,Axis US Treasury Dynamic Bond ETF Fund of Fund,Axis Mutual Fund,Open Ended,FoF - Overseas,Other
Financial Services,,23.27%,Axis Value Fund,Axis Mutual Fund,Open Ended,Value Fund,Equity
Automobile and Auto Components,,11.19%,Axis Value Fund,Axis Mutual Fund,Open Ended,Value Fund,Equity
Information Technology,,10.80%,Axis Value Fund,Axis Mutual Fund,Open Ended,Value Fund,Equity
Healthcare,,9.08%,Axis Value Fund,Axis Mutual Fund,Open Ended,Value Fund,Equity
Capital Goods,,7.75%,Axis Value Fund,Axis Mutual Fund,Open Ended,Value Fund,Equity
