Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Capital Goods,,12.12%,360 ONE Flexicap Fund,360 ONE Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Automobile and Auto Components,,8.57%,360 ONE Flexicap Fund,360 ONE Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Telecommunication,,5.47%,360 ONE Flexicap Fund,360 ONE Mutual Fund,Open Ended,Flexi Cap Fund,Equity
Financial Services,,34.07%,360 ONE Focused Equity Fund,360 ONE Mutual Fund,Open Ended,Focused Fund,Equity
Information Technology,,13.25%,360 ONE Focused Equity Fund,360 ONE Mutual Fund,Open Ended,Focused Fund,Equity
Automobile and Auto Components,,12.57%,360 ONE Focused Equity Fund,360 ONE Mutual Fund,Open Ended,Focused Fund,Equity
Telecommunication,,7.04%,360 ONE Focused Equity Fund,360 ONE Mutual Fund,Open Ended,Focused Fund,Equity
Capital Goods,,6.71%,360 ONE Focused Equity Fund,360 ONE Mutual Fund,Open Ended,Focused Fund,Equity
Financial Services,,63.71%,360 ONE Liquid Fund,360 ONE Mutual Fund,Open Ended,Liquid Fund,Debt
Current Assets,,22.41%,360 ONE Liquid Fund,360 ONE Mutual Fund,Open Ended,Liquid Fund,Debt
Sovereign,,10.44%,360 ONE Liquid Fund,360 ONE Mutual Fund,Open Ended,Liquid Fund,Debt
Consumer Services,,3.24%,360 ONE Liquid Fund,360 ONE Mutual Fund,Open Ended,Liquid Fund,Debt
Mutual Funds,,0.20%,360 ONE Liquid Fund,360 ONE Mutual Fund,Open Ended,Liquid Fund,Debt
Financial Services,,26.39%,360 ONE Quant Fund,360 ONE Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,18.84%,360 ONE Quant Fund,360 ONE Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,9.55%,360 ONE Quant Fund,360 ONE Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,9.11%,360 ONE Quant Fund,360 ONE Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,8.82%,360 ONE Quant Fund,360 ONE Mutual Fund,Open Ended,Thematic,Equity
Mutual Funds,,98.06%,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,1.94%,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Miscellaneous,,74.28%,Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Mutual Funds,,16.50%,Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Current Assets,,6.62%,Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Financial Services,,3.03%,Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Textiles,,-,Aditya Birla Sun Life Arbitrage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Arbitrage Fund,Hybrid
Mutual Funds,,98.86%,Aditya Birla Sun Life Asset Allocator FoF,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Current Assets,,1.14%,Aditya Birla Sun Life Asset Allocator FoF,Aditya Birla Sun Life Mutual Fund,Open Ended,FoF - Domestic,Other
Financial Services,,28.83%,Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sun Life Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Consumer Services,,9.66%,Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sun Life Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Capital Goods,,8.06%,Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sun Life Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Automobile and Auto Components,,7.50%,Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sun Life Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Information Technology,,5.64%,Aditya Birla Sun Life Bal Bhavishya Yojna,Aditya Birla Sun Life Mutual Fund,Open Ended,Childrens Fund,Solution Oriented
Financial Services,,35.84%,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Miscellaneous,,11.16%,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Fast Moving Consumer Goods,,6.53%,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Information Technology,,5.52%,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Sovereign,,4.76%,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Asset Allocation or Balanced Advantage,Hybrid
Financial Services,,67.70%,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Sovereign,,22.16%,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Current Assets,,8.18%,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Banking and PSU Fund,Debt
"Oil, Gas & Consumable Fuels",,0.81%,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Power,,0.67%,Aditya Birla Sun Life Banking & PSU Debt Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Banking and PSU Fund,Debt
Financial Services,,97.58%,Aditya Birla Sun Life Banking and Financial Services Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Current Assets,,2.00%,Aditya Birla Sun Life Banking and Financial Services Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Mutual Funds,,0.42%,Aditya Birla Sun Life Banking and Financial Services Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,24.99%,Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Information Technology,,10.23%,Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Healthcare,,7.66%,Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,7.46%,Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Fast Moving Consumer Goods,,6.79%,Aditya Birla Sun Life Business Cycle Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Sovereign,,21.98%,Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Credit Risk Fund,Debt
Financial Services,,21.86%,Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Credit Risk Fund,Debt
Construction,,14.35%,Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Credit Risk Fund,Debt
Metals & Mining,,8.05%,Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Credit Risk Fund,Debt
Power,,7.99%,Aditya Birla Sun Life Credit Risk Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Credit Risk Fund,Debt
Financial Services,,87.90%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
"Oil, Gas & Consumable Fuels",,9.73%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,2.36%,Aditya Birla Sun Life CRISIL IBX AAA Mar 2024 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,96.02%,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,3.98%,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,97.99%,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,2.01%,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,97.89%,Aditya Birla Sun Life CRISIL IBX Gilt April 2026 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,2.11%,Aditya Birla Sun Life CRISIL IBX Gilt April 2026 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,88.48%,Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,11.52%,Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Sovereign,,94.16%,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,5.84%,Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Index Funds,Other
Current Assets,,100.00%,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,Aditya Birla Sun Life Mutual Fund,Open Ended,ETFs - Others,Other
Information Technology,,77.65%,Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Telecommunication,,7.44%,Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Consumer Services,,4.10%,Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Current Assets,,3.10%,Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Services,,2.59%,Aditya Birla Sun Life Digital India Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,21.37%,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dividend Yield Fund,Equity
Information Technology,,14.46%,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dividend Yield Fund,Equity
"Oil, Gas & Consumable Fuels",,9.99%,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dividend Yield Fund,Equity
Fast Moving Consumer Goods,,8.80%,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dividend Yield Fund,Equity
Power,,8.76%,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dividend Yield Fund,Equity
Sovereign,,69.80%,Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Bond,Debt
Financial Services,,16.16%,Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Bond,Debt
Current Assets,,6.88%,Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Bond,Debt
Realty,,2.89%,Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Bond,Debt
Construction,,1.62%,Aditya Birla Sun Life Dynamic Bond Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Dynamic Bond,Debt
Financial Services,,28.11%,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,ELSS,Equity
Automobile and Auto Components,,10.30%,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,ELSS,Equity
Information Technology,,7.68%,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,ELSS,Equity
Healthcare,,7.40%,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,ELSS,Equity
Consumer Services,,7.03%,Aditya Birla Sun Life ELSS Tax Saver Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,ELSS,Equity
Financial Services,,27.08%,Aditya Birla Sun Life Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Automobile and Auto Components,,11.59%,Aditya Birla Sun Life Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
Capital Goods,,11.56%,Aditya Birla Sun Life Equity Advantage Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Large & Mid Cap Fund,Equity
