Sector Name,Dummy,Percentage Allocation,Fund Type
Sovereign,,8.36%,Aggressive Hybrid Fund
Automobile and Auto Components,,6.91%,Aggressive Hybrid Fund
Financial Services,,34.92%,Aggressive Hybrid Fund
Healthcare,,6.93%,Aggressive Hybrid Fund
Information Technology,,6.58%,Aggressive Hybrid Fund
Automobile and Auto Components,,5.89%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.37%,Aggressive Hybrid Fund
Financial Services,,22.48%,Aggressive Hybrid Fund
Sovereign,,17.44%,Aggressive Hybrid Fund
Mutual Funds,,10.11%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,5.29%,Aggressive Hybrid Fund
Information Technology,,4.87%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,16.51%,Aggressive Hybrid Fund
Financial Services,,16.09%,Aggressive Hybrid Fund
Sovereign,,15.85%,Aggressive Hybrid Fund
Metals & Mining,,10.64%,Aggressive Hybrid Fund
Healthcare,,9.93%,Aggressive Hybrid Fund
Financial Services,,32.24%,Aggressive Hybrid Fund
Sovereign,,11.14%,Aggressive Hybrid Fund
Healthcare,,6.33%,Aggressive Hybrid Fund
Telecommunication,,5.85%,Aggressive Hybrid Fund
Services,,5.42%,Aggressive Hybrid Fund
Financial Services,,36.30%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,8.73%,Aggressive Hybrid Fund
Information Technology,,8.19%,Aggressive Hybrid Fund
Current Assets,,7.48%,Aggressive Hybrid Fund
Sovereign,,6.70%,Aggressive Hybrid Fund
Financial Services,,36.09%,Aggressive Hybrid Fund
Sovereign,,9.51%,Aggressive Hybrid Fund
Automobile and Auto Components,,7.41%,Aggressive Hybrid Fund
Information Technology,,6.12%,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,6.09%,Aggressive Hybrid Fund
Financial Services,,34.09%,Aggressive Hybrid Fund
Fast Moving Consumer Goods,,9.38%,Aggressive Hybrid Fund
Information Technology,,8.12%,Aggressive Hybrid Fund
Sovereign,,7.89%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.25%,Aggressive Hybrid Fund
Financial Services,,42.83%,Aggressive Hybrid Fund
Information Technology,,9.27%,Aggressive Hybrid Fund
Automobile and Auto Components,,7.11%,Aggressive Hybrid Fund
Current Assets,,6.96%,Aggressive Hybrid Fund
Capital Goods,,5.02%,Aggressive Hybrid Fund
Financial Services,,33.58%,Aggressive Hybrid Fund
Sovereign,,14.44%,Aggressive Hybrid Fund
Automobile and Auto Components,,8.14%,Aggressive Hybrid Fund
Information Technology,,7.34%,Aggressive Hybrid Fund
"Oil, Gas & Consumable Fuels",,7.07%,Aggressive Hybrid Fund
Miscellaneous,,74.28%,Arbitrage Fund
Mutual Funds,,16.50%,Arbitrage Fund
Current Assets,,6.62%,Arbitrage Fund
Financial Services,,3.03%,Arbitrage Fund
Textiles,,-,Arbitrage Fund
Current Assets,,75.38%,Arbitrage Fund
Mutual Funds,,11.35%,Arbitrage Fund
Financial Services,,6.80%,Arbitrage Fund
Sovereign,,6.22%,Arbitrage Fund
Consumer Services,,0.67%,Arbitrage Fund
Financial Services,,43.41%,Balanced Hybrid Fund
Sovereign,,12.86%,Balanced Hybrid Fund
Power,,6.23%,Balanced Hybrid Fund
Information Technology,,6.03%,Balanced Hybrid Fund
Capital Goods,,5.60%,Balanced Hybrid Fund
Financial Services,,30.87%,Balanced Hybrid Fund
Sovereign,,24.64%,Balanced Hybrid Fund
Current Assets,,7.16%,Balanced Hybrid Fund
Power,,5.69%,Balanced Hybrid Fund
Information Technology,,5.00%,Balanced Hybrid Fund
Financial Services,,28.83%,Childrens Fund
Consumer Services,,9.66%,Childrens Fund
Capital Goods,,8.06%,Childrens Fund
Automobile and Auto Components,,7.50%,Childrens Fund
Information Technology,,5.64%,Childrens Fund
Financial Services,,27.56%,Childrens Fund
Sovereign,,17.93%,Childrens Fund
Information Technology,,7.95%,Childrens Fund
Automobile and Auto Components,,7.65%,Childrens Fund
Consumer Services,,6.84%,Childrens Fund
Financial Services,,26.01%,Childrens Fund
Sovereign,,20.37%,Childrens Fund
Capital Goods,,12.50%,Childrens Fund
Information Technology,,8.64%,Childrens Fund
Construction,,4.80%,Childrens Fund
Financial Services,,13.76%,Childrens Fund
Metals & Mining,,10.56%,Childrens Fund
Capital Goods,,10.05%,Childrens Fund
Construction Materials,,9.67%,Childrens Fund
Sovereign,,8.00%,Childrens Fund
Financial Services,,24.26%,Childrens Fund
Information Technology,,10.59%,Childrens Fund
Sovereign,,9.97%,Childrens Fund
Capital Goods,,8.78%,Childrens Fund
Fast Moving Consumer Goods,,6.75%,Childrens Fund
Financial Services,,32.04%,Childrens Fund
Current Assets,,13.37%,Childrens Fund
Fast Moving Consumer Goods,,12.95%,Childrens Fund
Services,,8.97%,Childrens Fund
Healthcare,,7.46%,Childrens Fund
Sovereign,,40.63%,Childrens Fund
Financial Services,,17.79%,Childrens Fund
Current Assets,,10.84%,Childrens Fund
Consumer Durables,,6.35%,Childrens Fund
Fast Moving Consumer Goods,,6.14%,Childrens Fund
Financial Services,,30.48%,Childrens Fund
Information Technology,,11.87%,Childrens Fund
Fast Moving Consumer Goods,,11.08%,Childrens Fund
Consumer Durables,,8.26%,Childrens Fund
"Oil, Gas & Consumable Fuels",,5.13%,Childrens Fund
Financial Services,,25.20%,Childrens Fund
Automobile and Auto Components,,12.98%,Childrens Fund
Information Technology,,10.47%,Childrens Fund
Current Assets,,8.08%,Childrens Fund
Capital Goods,,5.66%,Childrens Fund
Financial Services,,30.11%,Childrens Fund
Information Technology,,10.28%,Childrens Fund
Automobile and Auto Components,,10.08%,Childrens Fund
Consumer Services,,7.57%,Childrens Fund
Fast Moving Consumer Goods,,6.98%,Childrens Fund
Financial Services,,33.12%,Childrens Fund
Sovereign,,32.05%,Childrens Fund
Information Technology,,4.13%,Childrens Fund
Automobile and Auto Components,,4.06%,Childrens Fund
Current Assets,,3.94%,Childrens Fund
Financial Services,,31.92%,Contra Fund
Information Technology,,12.85%,Contra Fund
Automobile and Auto Components,,9.70%,Contra Fund
Healthcare,,7.67%,Contra Fund
Capital Goods,,7.64%,Contra Fund
Financial Services,,21.37%,Dividend Yield Fund
Information Technology,,14.46%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,9.99%,Dividend Yield Fund
Fast Moving Consumer Goods,,8.80%,Dividend Yield Fund
Power,,8.76%,Dividend Yield Fund
Financial Services,,24.08%,Dividend Yield Fund
Information Technology,,11.31%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.63%,Dividend Yield Fund
Power,,9.49%,Dividend Yield Fund
Capital Goods,,8.47%,Dividend Yield Fund
Financial Services,,23.48%,Dividend Yield Fund
Power,,13.15%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.84%,Dividend Yield Fund
Current Assets,,7.85%,Dividend Yield Fund
Automobile and Auto Components,,6.63%,Dividend Yield Fund
Power,,18.82%,Dividend Yield Fund
Financial Services,,14.71%,Dividend Yield Fund
Information Technology,,13.19%,Dividend Yield Fund
Capital Goods,,11.54%,Dividend Yield Fund
Automobile and Auto Components,,10.13%,Dividend Yield Fund
Financial Services,,20.98%,Dividend Yield Fund
Information Technology,,15.68%,Dividend Yield Fund
Automobile and Auto Components,,12.28%,Dividend Yield Fund
Fast Moving Consumer Goods,,9.78%,Dividend Yield Fund
Capital Goods,,7.46%,Dividend Yield Fund
Financial Services,,26.37%,Dividend Yield Fund
Information Technology,,12.70%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,10.45%,Dividend Yield Fund
Power,,7.99%,Dividend Yield Fund
Fast Moving Consumer Goods,,6.21%,Dividend Yield Fund
Financial Services,,26.35%,Dividend Yield Fund
Capital Goods,,16.18%,Dividend Yield Fund
Fast Moving Consumer Goods,,9.03%,Dividend Yield Fund
Current Assets,,8.91%,Dividend Yield Fund
Information Technology,,7.24%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,24.16%,Dividend Yield Fund
Power,,17.30%,Dividend Yield Fund
Information Technology,,13.85%,Dividend Yield Fund
Fast Moving Consumer Goods,,8.37%,Dividend Yield Fund
Realty,,6.22%,Dividend Yield Fund
Financial Services,,21.63%,Dividend Yield Fund
Information Technology,,14.85%,Dividend Yield Fund
"Oil, Gas & Consumable Fuels",,11.29%,Dividend Yield Fund
Fast Moving Consumer Goods,,11.04%,Dividend Yield Fund
Healthcare,,8.73%,Dividend Yield Fund
Financial Services,,35.84%,Dynamic Asset Allocation or Balanced Advantage
Miscellaneous,,11.16%,Dynamic Asset Allocation or Balanced Advantage
Fast Moving Consumer Goods,,6.53%,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,5.52%,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,4.76%,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,32.89%,Dynamic Asset Allocation or Balanced Advantage
Sovereign,,10.69%,Dynamic Asset Allocation or Balanced Advantage
Information Technology,,8.98%,Dynamic Asset Allocation or Balanced Advantage
Current Assets,,8.24%,Dynamic Asset Allocation or Balanced Advantage
Automobile and Auto Components,,6.49%,Dynamic Asset Allocation or Balanced Advantage
Financial Services,,28.11%,ELSS
Automobile and Auto Components,,10.30%,ELSS
Information Technology,,7.68%,ELSS
Healthcare,,7.40%,ELSS
Consumer Services,,7.03%,ELSS
Financial Services,,25.26%,ELSS
Consumer Services,,15.51%,ELSS
Information Technology,,10.65%,ELSS
Automobile and Auto Components,,9.74%,ELSS
Healthcare,,8.93%,ELSS
Financial Services,,28.25%,ELSS
Automobile and Auto Components,,9.59%,ELSS
Information Technology,,8.99%,ELSS
Healthcare,,6.65%,ELSS
Fast Moving Consumer Goods,,6.39%,ELSS
Financial Services,,39.37%,ELSS
Capital Goods,,8.57%,ELSS
Healthcare,,6.87%,ELSS
Automobile and Auto Components,,6.50%,ELSS
Information Technology,,5.66%,ELSS
Financial Services,,30.87%,ELSS
Information Technology,,12.02%,ELSS
Healthcare,,6.92%,ELSS
Consumer Services,,6.55%,ELSS
Automobile and Auto Components,,5.41%,ELSS
Financial Services,,30.68%,ELSS
Information Technology,,10.64%,ELSS
Automobile and Auto Components,,8.87%,ELSS
Capital Goods,,7.96%,ELSS
Fast Moving Consumer Goods,,7.33%,ELSS
Financial Services,,34.27%,ELSS
Healthcare,,8.96%,ELSS
Information Technology,,8.87%,ELSS
Automobile and Auto Components,,8.81%,ELSS
"Oil, Gas & Consumable Fuels",,7.59%,ELSS
Financial Services,,34.67%,ELSS
Information Technology,,11.10%,ELSS
Capital Goods,,7.82%,ELSS
Construction,,6.68%,ELSS
Fast Moving Consumer Goods,,6.30%,ELSS
Financial Services,,28.14%,ELSS
Information Technology,,9.69%,ELSS
Fast Moving Consumer Goods,,8.30%,ELSS
"Oil, Gas & Consumable Fuels",,7.41%,ELSS
Consumer Services,,6.08%,ELSS
Financial Services,,31.92%,ELSS
Information Technology,,13.73%,ELSS
Automobile and Auto Components,,12.66%,ELSS
Capital Goods,,8.67%,ELSS
Construction Materials,,6.20%,ELSS
Financial Services,,35.77%,ELSS
Healthcare,,12.34%,ELSS
Information Technology,,10.44%,ELSS
Power,,7.76%,ELSS
Capital Goods,,7.44%,ELSS
Financial Services,,27.52%,ELSS
Capital Goods,,18.12%,ELSS
Information Technology,,12.24%,ELSS
Automobile and Auto Components,,9.22%,ELSS
Construction,,5.69%,ELSS
Financial Services,,29.39%,ELSS
Consumer Durables,,9.76%,ELSS
Healthcare,,9.20%,ELSS
Information Technology,,7.74%,ELSS
Capital Goods,,6.59%,ELSS
Financial Services,,31.90%,ELSS
Healthcare,,10.21%,ELSS
Automobile and Auto Components,,10.13%,ELSS
Consumer Services,,8.24%,ELSS
Information Technology,,7.04%,ELSS
Financial Services,,28.72%,ELSS
Information Technology,,10.96%,ELSS
Capital Goods,,9.04%,ELSS
"Oil, Gas & Consumable Fuels",,7.27%,ELSS
Consumer Durables,,7.14%,ELSS
Financial Services,,20.62%,ELSS
Automobile and Auto Components,,10.22%,ELSS
Capital Goods,,10.20%,ELSS
Information Technology,,8.55%,ELSS
Consumer Services,,7.70%,ELSS
Financial Services,,29.07%,ELSS
Capital Goods,,12.43%,ELSS
Consumer Services,,9.53%,ELSS
Information Technology,,8.23%,ELSS
Fast Moving Consumer Goods,,6.76%,ELSS
Miscellaneous,,51.98%,Equity Savings
Financial Services,,15.46%,Equity Savings
Sovereign,,12.39%,Equity Savings
Mutual Funds,,6.57%,Equity Savings
Fast Moving Consumer Goods,,3.00%,Equity Savings
Current Assets,,37.52%,Equity Savings
Sovereign,,17.12%,Equity Savings
Financial Services,,14.87%,Equity Savings
Information Technology,,7.11%,Equity Savings
Automobile and Auto Components,,4.67%,Equity Savings
Miscellaneous,,49.62%,Equity Savings
Financial Services,,22.92%,Equity Savings
Mutual Funds,,8.74%,Equity Savings
Current Assets,,4.92%,Equity Savings
Information Technology,,2.10%,Equity Savings
Miscellaneous,,33.07%,Equity Savings
Financial Services,,22.01%,Equity Savings
Sovereign,,13.50%,Equity Savings
Current Assets,,5.28%,Equity Savings
Information Technology,,4.28%,Equity Savings
Miscellaneous,,35.11%,Equity Savings
Financial Services,,28.70%,Equity Savings
Sovereign,,14.03%,Equity Savings
Healthcare,,6.62%,Equity Savings
Current Assets,,3.86%,Equity Savings
Miscellaneous,,42.06%,Equity Savings
Current Assets,,19.55%,Equity Savings
Financial Services,,10.79%,Equity Savings
Sovereign,,7.36%,Equity Savings
Mutual Funds,,4.13%,Equity Savings
Miscellaneous,,48.69%,Equity Savings
Financial Services,,17.46%,Equity Savings
Sovereign,,14.50%,Equity Savings
Current Assets,,7.10%,Equity Savings
Information Technology,,2.16%,Equity Savings
Miscellaneous,,32.55%,Equity Savings
Financial Services,,20.74%,Equity Savings
Sovereign,,12.34%,Equity Savings
Current Assets,,4.33%,Equity Savings
"Oil, Gas & Consumable Fuels",,3.67%,Equity Savings
Miscellaneous,,27.81%,Equity Savings
Sovereign,,20.84%,Equity Savings
Financial Services,,13.04%,Equity Savings
Capital Goods,,8.34%,Equity Savings
Consumer Durables,,7.34%,Equity Savings
Miscellaneous,,58.20%,Equity Savings
Sovereign,,12.36%,Equity Savings
Financial Services,,8.19%,Equity Savings
Fast Moving Consumer Goods,,4.89%,Equity Savings
Current Assets,,4.77%,Equity Savings
Current Assets,,168.88%,Equity Savings
Mutual Funds,,16.74%,Equity Savings
Sovereign,,5.26%,Equity Savings
Capital Goods,,3.81%,Equity Savings
Consumer Services,,3.19%,Equity Savings
Miscellaneous,,33.51%,Equity Savings
Financial Services,,19.86%,Equity Savings
Mutual Funds,,10.79%,Equity Savings
Current Assets,,9.27%,Equity Savings
Fast Moving Consumer Goods,,5.03%,Equity Savings
Miscellaneous,,26.07%,Equity Savings
Current Assets,,20.34%,Equity Savings
Financial Services,,19.01%,Equity Savings
Mutual Funds,,11.31%,Equity Savings
Construction Materials,,4.87%,Equity Savings
Current Assets,,33.22%,Equity Savings
Financial Services,,16.55%,Equity Savings
Sovereign,,15.74%,Equity Savings
Capital Goods,,5.51%,Equity Savings
"Oil, Gas & Consumable Fuels",,4.98%,Equity Savings
Financial Services,,22.94%,Equity Savings
Sovereign,,16.60%,Equity Savings
Current Assets,,10.03%,Equity Savings
Information Technology,,6.25%,Equity Savings
"Oil, Gas & Consumable Fuels",,5.79%,Equity Savings
Miscellaneous,,52.89%,Equity Savings
Financial Services,,13.01%,Equity Savings
Sovereign,,12.95%,Equity Savings
Current Assets,,6.50%,Equity Savings
Information Technology,,2.19%,Equity Savings
Current Assets,,62.78%,Equity Savings
Sovereign,,20.48%,Equity Savings
Financial Services,,5.70%,Equity Savings
