Sector Name,Dummy,Percentage Allocation,Fund Type
"Oil, Gas & Consumable Fuels",,10.58%,ETFs - Others
Fast Moving Consumer Goods,,9.89%,ETFs - Others
Automobile and Auto Components,,6.44%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Information Technology,,39.80%,ETFs - Others
Fast Moving Consumer Goods,,31.79%,ETFs - Others
Automobile and Auto Components,,10.98%,ETFs - Others
Healthcare,,9.22%,ETFs - Others
Consumer Durables,,7.02%,ETFs - Others
Information Technology,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,22.06%,ETFs - Others
Capital Goods,,13.32%,ETFs - Others
Healthcare,,10.88%,ETFs - Others
Automobile and Auto Components,,7.27%,ETFs - Others
Information Technology,,6.86%,ETFs - Others
Financial Services,,20.33%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.58%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Financial Services,,23.11%,ETFs - Others
Capital Goods,,15.40%,ETFs - Others
Healthcare,,9.67%,ETFs - Others
Information Technology,,6.70%,ETFs - Others
Chemicals,,5.51%,ETFs - Others
Fast Moving Consumer Goods,,24.70%,ETFs - Others
Financial Services,,14.51%,ETFs - Others
Healthcare,,13.13%,ETFs - Others
Information Technology,,9.98%,ETFs - Others
Automobile and Auto Components,,8.82%,ETFs - Others
Fast Moving Consumer Goods,,29.64%,ETFs - Others
Information Technology,,23.56%,ETFs - Others
Automobile and Auto Components,,14.08%,ETFs - Others
Consumer Durables,,8.49%,ETFs - Others
Financial Services,,6.24%,ETFs - Others
Automobile and Auto Components,,19.43%,ETFs - Others
Healthcare,,18.36%,ETFs - Others
Capital Goods,,17.98%,ETFs - Others
Financial Services,,12.63%,ETFs - Others
Consumer Services,,5.02%,ETFs - Others
Information Technology,,35.44%,ETFs - Others
Financial Services,,22.29%,ETFs - Others
Fast Moving Consumer Goods,,14.19%,ETFs - Others
Power,,7.69%,ETFs - Others
Metals & Mining,,6.10%,ETFs - Others
Financial Services,,29.65%,ETFs - Others
Information Technology,,10.20%,ETFs - Others
"Oil, Gas & Consumable Fuels",,8.67%,ETFs - Others
Fast Moving Consumer Goods,,8.01%,ETFs - Others
Automobile and Auto Components,,6.47%,ETFs - Others
Financial Services,,39.13%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,9.00%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Power,,21.55%,ETFs - Others
"Oil, Gas & Consumable Fuels",,19.90%,ETFs - Others
Financial Services,,18.17%,ETFs - Others
Construction,,17.34%,ETFs - Others
Fast Moving Consumer Goods,,11.93%,ETFs - Others
Financial Services,,32.67%,ETFs - Others
Information Technology,,11.40%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.59%,ETFs - Others
Fast Moving Consumer Goods,,9.88%,ETFs - Others
Automobile and Auto Components,,6.43%,ETFs - Others
Fast Moving Consumer Goods,,24.72%,ETFs - Others
Financial Services,,14.51%,ETFs - Others
Healthcare,,13.14%,ETFs - Others
Information Technology,,9.98%,ETFs - Others
Automobile and Auto Components,,8.82%,ETFs - Others
Automobile and Auto Components,,19.43%,ETFs - Others
Healthcare,,18.36%,ETFs - Others
Capital Goods,,17.98%,ETFs - Others
Financial Services,,12.63%,ETFs - Others
Consumer Services,,5.02%,ETFs - Others
Fast Moving Consumer Goods,,29.18%,ETFs - Others
Information Technology,,26.07%,ETFs - Others
Consumer Durables,,8.95%,ETFs - Others
Automobile and Auto Components,,6.82%,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.64%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Fast Moving Consumer Goods,,21.80%,ETFs - Others
Healthcare,,17.72%,ETFs - Others
Automobile and Auto Components,,17.48%,ETFs - Others
"Oil, Gas & Consumable Fuels",,9.32%,ETFs - Others
Construction Materials,,7.05%,ETFs - Others
Automobile and Auto Components,,93.38%,ETFs - Others
Capital Goods,,6.62%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
"Oil, Gas & Consumable Fuels",,26.96%,ETFs - Others
Metals & Mining,,22.30%,ETFs - Others
Power,,19.01%,ETFs - Others
Construction Materials,,18.97%,ETFs - Others
Chemicals,,11.10%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Fast Moving Consumer Goods,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Healthcare,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Fast Moving Consumer Goods,,37.76%,ETFs - Others
Automobile and Auto Components,,19.29%,ETFs - Others
Consumer Durables,,13.76%,ETFs - Others
Telecommunication,,10.10%,ETFs - Others
Consumer Services,,8.35%,ETFs - Others
"Oil, Gas & Consumable Fuels",,30.00%,ETFs - Others
Construction,,16.64%,ETFs - Others
Power,,12.46%,ETFs - Others
Construction Materials,,11.75%,ETFs - Others
Telecommunication,,10.42%,ETFs - Others
Information Technology,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,22.15%,ETFs - Others
Capital Goods,,13.32%,ETFs - Others
Healthcare,,10.87%,ETFs - Others
Automobile and Auto Components,,7.25%,ETFs - Others
Information Technology,,6.86%,ETFs - Others
Financial Services,,20.33%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.57%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Information Technology,,35.44%,ETFs - Others
Financial Services,,22.29%,ETFs - Others
Fast Moving Consumer Goods,,14.19%,ETFs - Others
Power,,7.69%,ETFs - Others
Metals & Mining,,6.10%,ETFs - Others
Financial Services,,29.69%,ETFs - Others
Information Technology,,10.19%,ETFs - Others
"Oil, Gas & Consumable Fuels",,8.67%,ETFs - Others
Fast Moving Consumer Goods,,8.01%,ETFs - Others
Automobile and Auto Components,,6.47%,ETFs - Others
Financial Services,,26.62%,ETFs - Others
Capital Goods,,16.24%,ETFs - Others
Automobile and Auto Components,,11.41%,ETFs - Others
Consumer Services,,10.49%,ETFs - Others
Information Technology,,8.90%,ETFs - Others
Financial Services,,39.13%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,8.99%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Fast Moving Consumer Goods,,24.71%,ETFs - Others
Financial Services,,14.50%,ETFs - Others
Healthcare,,13.14%,ETFs - Others
Information Technology,,9.98%,ETFs - Others
Automobile and Auto Components,,8.82%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,36.78%,ETFs - Others
Capital Goods,,29.69%,ETFs - Others
Information Technology,,7.86%,ETFs - Others
Healthcare,,6.43%,ETFs - Others
Construction,,5.19%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Fast Moving Consumer Goods,,37.87%,ETFs - Others
Automobile and Auto Components,,19.29%,ETFs - Others
Consumer Durables,,13.75%,ETFs - Others
Telecommunication,,10.09%,ETFs - Others
Consumer Services,,8.32%,ETFs - Others
Information Technology,,99.96%,ETFs - Others
Current Assets,,0.04%,ETFs - Others
Financial Services,,28.49%,ETFs - Others
Capital Goods,,12.24%,ETFs - Others
Information Technology,,10.61%,ETFs - Others
Healthcare,,9.61%,ETFs - Others
"Oil, Gas & Consumable Fuels",,5.56%,ETFs - Others
Fast Moving Consumer Goods,,41.10%,ETFs - Others
Capital Goods,,20.08%,ETFs - Others
Automobile and Auto Components,,14.00%,ETFs - Others
Construction Materials,,5.02%,ETFs - Others
Metals & Mining,,4.54%,ETFs - Others
Financial Services,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,39.12%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,8.99%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,32.68%,ETFs - Others
Information Technology,,11.42%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.59%,ETFs - Others
Fast Moving Consumer Goods,,9.88%,ETFs - Others
Automobile and Auto Components,,6.43%,ETFs - Others
Financial Services,,35.17%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.42%,ETFs - Others
Fast Moving Consumer Goods,,9.17%,ETFs - Others
Automobile and Auto Components,,6.46%,ETFs - Others
Financial Services,,39.06%,ETFs - Others
Information Technology,,15.05%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.83%,ETFs - Others
Fast Moving Consumer Goods,,9.01%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Information Technology,,32.97%,ETFs - Others
Consumer Services,,19.52%,ETFs - Others
Consumer Durables,,13.98%,ETFs - Others
Automobile and Auto Components,,11.65%,ETFs - Others
Services,,8.74%,ETFs - Others
Financial Services,,30.77%,ETFs - Others
Information Technology,,14.14%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.87%,ETFs - Others
Automobile and Auto Components,,6.60%,ETFs - Others
Fast Moving Consumer Goods,,5.86%,ETFs - Others
Fast Moving Consumer Goods,,24.70%,ETFs - Others
Financial Services,,14.51%,ETFs - Others
Healthcare,,13.14%,ETFs - Others
Information Technology,,9.98%,ETFs - Others
Automobile and Auto Components,,8.82%,ETFs - Others
Capital Goods,,22.03%,ETFs - Others
Financial Services,,21.56%,ETFs - Others
Healthcare,,14.85%,ETFs - Others
Automobile and Auto Components,,13.40%,ETFs - Others
Realty,,5.77%,ETFs - Others
Financial Services,,35.27%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,100.01%,ETFs - Others
Current Assets,,-0.01%,ETFs - Others
Financial Services,,100.01%,ETFs - Others
Current Assets,,-0.01%,ETFs - Others
Automobile and Auto Components,,29.81%,ETFs - Others
Capital Goods,,19.63%,ETFs - Others
Healthcare,,14.88%,ETFs - Others
Metals & Mining,,12.89%,ETFs - Others
Chemicals,,8.67%,ETFs - Others
Information Technology,,99.99%,ETFs - Others
Current Assets,,0.01%,ETFs - Others
Financial Services,,22.15%,ETFs - Others
Capital Goods,,13.33%,ETFs - Others
Healthcare,,10.88%,ETFs - Others
Automobile and Auto Components,,7.25%,ETFs - Others
Information Technology,,6.87%,ETFs - Others
Financial Services,,20.33%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.58%,ETFs - Others
Information Technology,,40.13%,ETFs - Others
Services,,10.30%,ETFs - Others
Automobile and Auto Components,,10.15%,ETFs - Others
Telecommunication,,10.01%,ETFs - Others
Consumer Services,,9.98%,ETFs - Others
Information Technology,,28.71%,ETFs - Others
Consumer Durables,,12.49%,ETFs - Others
Financial Services,,12.45%,ETFs - Others
Consumer Services,,9.38%,ETFs - Others
Healthcare,,9.12%,ETFs - Others
Financial Services,,39.13%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,8.98%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Information Technology,,37.92%,ETFs - Others
Services,,11.24%,ETFs - Others
Consumer Durables,,9.21%,ETFs - Others
Consumer Services,,9.06%,ETFs - Others
Healthcare,,6.85%,ETFs - Others
Information Technology,,31.91%,ETFs - Others
Healthcare,,20.28%,ETFs - Others
Capital Goods,,15.85%,ETFs - Others
Consumer Services,,6.92%,ETFs - Others
"Media, Entertainment & Publication",,4.78%,ETFs - Others
Automobile and Auto Components,,19.43%,ETFs - Others
Healthcare,,18.37%,ETFs - Others
Capital Goods,,17.99%,ETFs - Others
Financial Services,,12.63%,ETFs - Others
Consumer Services,,5.03%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,24.51%,ETFs - Others
Healthcare,,11.86%,ETFs - Others
Capital Goods,,11.44%,ETFs - Others
Information Technology,,8.08%,ETFs - Others
Automobile and Auto Components,,6.50%,ETFs - Others
Financial Services,,33.96%,ETFs - Others
"Oil, Gas & Consumable Fuels",,33.73%,ETFs - Others
Metals & Mining,,22.95%,ETFs - Others
Power,,8.41%,ETFs - Others
Consumer Durables,,0.81%,ETFs - Others
Healthcare,,99.94%,ETFs - Others
Current Assets,,0.06%,ETFs - Others
Healthcare,,21.28%,ETFs - Others
Fast Moving Consumer Goods,,20.18%,ETFs - Others
Automobile and Auto Components,,10.28%,ETFs - Others
Financial Services,,9.52%,ETFs - Others
Information Technology,,8.98%,ETFs - Others
Fast Moving Consumer Goods,,19.57%,ETFs - Others
Capital Goods,,14.97%,ETFs - Others
"Oil, Gas & Consumable Fuels",,13.58%,ETFs - Others
Information Technology,,12.51%,ETFs - Others
Financial Services,,8.33%,ETFs - Others
Financial Services,,34.86%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.34%,ETFs - Others
Fast Moving Consumer Goods,,9.05%,ETFs - Others
Automobile and Auto Components,,6.41%,ETFs - Others
Financial Services,,46.65%,ETFs - Others
Consumer Services,,11.77%,ETFs - Others
Services,,5.33%,ETFs - Others
"Oil, Gas & Consumable Fuels",,4.83%,ETFs - Others
Automobile and Auto Components,,4.54%,ETFs - Others
Financial Services,,32.63%,ETFs - Others
Information Technology,,11.38%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.57%,ETFs - Others
Fast Moving Consumer Goods,,9.87%,ETFs - Others
Automobile and Auto Components,,6.42%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Information Technology,,47.35%,ETFs - Others
Fast Moving Consumer Goods,,14.58%,ETFs - Others
Healthcare,,8.90%,ETFs - Others
Construction Materials,,7.32%,ETFs - Others
Metals & Mining,,6.88%,ETFs - Others
Information Technology,,35.41%,ETFs - Others
Financial Services,,22.27%,ETFs - Others
Fast Moving Consumer Goods,,14.18%,ETFs - Others
Power,,7.68%,ETFs - Others
Metals & Mining,,6.10%,ETFs - Others
Financial Services,,99.95%,ETFs - Others
Current Assets,,0.05%,ETFs - Others
Information Technology,,27.99%,ETFs - Others
Fast Moving Consumer Goods,,20.79%,ETFs - Others
Financial Services,,11.50%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.30%,ETFs - Others
Power,,8.86%,ETFs - Others
Fast Moving Consumer Goods,,37.74%,ETFs - Others
Automobile and Auto Components,,19.27%,ETFs - Others
Consumer Durables,,13.74%,ETFs - Others
Telecommunication,,10.09%,ETFs - Others
Consumer Services,,8.34%,ETFs - Others
"Oil, Gas & Consumable Fuels",,29.93%,ETFs - Others
Construction,,16.60%,ETFs - Others
Power,,12.43%,ETFs - Others
Construction Materials,,11.71%,ETFs - Others
Telecommunication,,10.40%,ETFs - Others
Information Technology,,99.95%,ETFs - Others
Current Assets,,0.05%,ETFs - Others
Miscellaneous,,-,ETFs - Others
Financial Services,,22.14%,ETFs - Others
Capital Goods,,13.32%,ETFs - Others
Healthcare,,10.87%,ETFs - Others
Automobile and Auto Components,,7.25%,ETFs - Others
Information Technology,,6.86%,ETFs - Others
Financial Services,,20.32%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.57%,ETFs - Others
Financial Services,,99.95%,ETFs - Others
Current Assets,,0.05%,ETFs - Others
Miscellaneous,,0.01%,ETFs - Others
Sovereign,,97.16%,ETFs - Others
Current Assets,,2.83%,ETFs - Others
Miscellaneous,,-,ETFs - Others
Financial Services,,23.72%,ETFs - Others
Consumer Services,,16.58%,ETFs - Others
Fast Moving Consumer Goods,,11.76%,ETFs - Others
Capital Goods,,9.03%,ETFs - Others
Chemicals,,6.98%,ETFs - Others
Financial Services,,39.12%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,8.98%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Automobile and Auto Components,,93.31%,ETFs - Others
Capital Goods,,6.61%,ETFs - Others
Current Assets,,0.08%,ETFs - Others
Miscellaneous,,-,ETFs - Others
Healthcare,,99.98%,ETFs - Others
Current Assets,,0.02%,ETFs - Others
Financial Services,,35.27%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.17%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Fast Moving Consumer Goods,,29.18%,ETFs - Others
Information Technology,,26.07%,ETFs - Others
Consumer Durables,,8.95%,ETFs - Others
Automobile and Auto Components,,6.82%,ETFs - Others
"Oil, Gas & Consumable Fuels",,6.63%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Fast Moving Consumer Goods,,37.77%,ETFs - Others
Automobile and Auto Components,,19.30%,ETFs - Others
Consumer Durables,,13.76%,ETFs - Others
Telecommunication,,10.09%,ETFs - Others
Consumer Services,,8.34%,ETFs - Others
Information Technology,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Financial Services,,20.33%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.58%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Financial Services,,32.98%,ETFs - Others
Information Technology,,11.53%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.30%,ETFs - Others
Fast Moving Consumer Goods,,9.49%,ETFs - Others
Automobile and Auto Components,,6.38%,ETFs - Others
Financial Services,,39.13%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,9.00%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,23.75%,ETFs - Others
Consumer Services,,16.61%,ETFs - Others
Fast Moving Consumer Goods,,11.78%,ETFs - Others
Capital Goods,,9.04%,ETFs - Others
Chemicals,,6.99%,ETFs - Others
Financial Services,,35.03%,ETFs - Others
Information Technology,,13.61%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.36%,ETFs - Others
Fast Moving Consumer Goods,,9.13%,ETFs - Others
Automobile and Auto Components,,6.46%,ETFs - Others
Information Technology,,49.94%,ETFs - Others
Consumer Services,,28.44%,ETFs - Others
Telecommunication,,14.32%,ETFs - Others
Financial Services,,7.21%,ETFs - Others
Current Assets,,0.09%,ETFs - Others
Financial Services,,99.83%,ETFs - Others
Current Assets,,0.17%,ETFs - Others
Financial Services,,35.26%,ETFs - Others
Information Technology,,13.62%,ETFs - Others
"Oil, Gas & Consumable Fuels",,11.40%,ETFs - Others
Fast Moving Consumer Goods,,9.16%,ETFs - Others
Automobile and Auto Components,,6.48%,ETFs - Others
Financial Services,,100.00%,ETFs - Others
Current Assets,,-,ETFs - Others
Financial Services,,22.13%,ETFs - Others
Capital Goods,,13.28%,ETFs - Others
Healthcare,,10.89%,ETFs - Others
Automobile and Auto Components,,7.30%,ETFs - Others
Information Technology,,6.85%,ETFs - Others
Financial Services,,20.33%,ETFs - Others
Fast Moving Consumer Goods,,12.68%,ETFs - Others
Consumer Services,,11.63%,ETFs - Others
Capital Goods,,11.14%,ETFs - Others
Chemicals,,6.57%,ETFs - Others
Financial Services,,39.13%,ETFs - Others
Information Technology,,15.04%,ETFs - Others
"Oil, Gas & Consumable Fuels",,10.81%,ETFs - Others
Fast Moving Consumer Goods,,9.00%,ETFs - Others
Automobile and Auto Components,,5.36%,ETFs - Others
Financial Services,,23.74%,ETFs - Others
Consumer Services,,16.60%,ETFs - Others
Fast Moving Consumer Goods,,11.77%,ETFs - Others
Capital Goods,,9.04%,ETFs - Others
Chemicals,,6.99%,ETFs - Others
Financial Services,,30.69%,Flexi Cap Fund
Information Technology,,13.24%,Flexi Cap Fund
Capital Goods,,12.12%,Flexi Cap Fund
Automobile and Auto Components,,8.57%,Flexi Cap Fund
Telecommunication,,5.47%,Flexi Cap Fund
Financial Services,,30.53%,Flexi Cap Fund
Information Technology,,12.48%,Flexi Cap Fund
Healthcare,,12.01%,Flexi Cap Fund
Fast Moving Consumer Goods,,6.73%,Flexi Cap Fund
Capital Goods,,4.81%,Flexi Cap Fund
Financial Services,,28.75%,Flexi Cap Fund
Consumer Services,,11.18%,Flexi Cap Fund
Automobile and Auto Components,,10.50%,Flexi Cap Fund
Information Technology,,9.12%,Flexi Cap Fund
Healthcare,,8.40%,Flexi Cap Fund
Financial Services,,34.07%,Focused Fund
Information Technology,,13.25%,Focused Fund
Automobile and Auto Components,,12.57%,Focused Fund
Telecommunication,,7.04%,Focused Fund
Capital Goods,,6.71%,Focused Fund
Financial Services,,35.52%,Focused Fund
Information Technology,,12.43%,Focused Fund
Automobile and Auto Components,,9.70%,Focused Fund
Fast Moving Consumer Goods,,7.38%,Focused Fund
Construction,,6.39%,Focused Fund
Financial Services,,27.19%,Focused Fund
Consumer Services,,14.06%,Focused Fund
Information Technology,,11.83%,Focused Fund
Chemicals,,10.15%,Focused Fund
Healthcare,,9.52%,Focused Fund
Financial Services,,33.27%,Focused Fund
Information Technology,,11.54%,Focused Fund
Capital Goods,,10.48%,Focused Fund
Automobile and Auto Components,,9.31%,Focused Fund
Fast Moving Consumer Goods,,5.95%,Focused Fund
Financial Services,,31.17%,Focused Fund
Automobile and Auto Components,,13.78%,Focused Fund
Capital Goods,,9.16%,Focused Fund
Information Technology,,7.35%,Focused Fund
Construction,,6.86%,Focused Fund
Financial Services,,31.04%,Focused Fund
Healthcare,,9.16%,Focused Fund
Information Technology,,8.84%,Focused Fund
Automobile and Auto Components,,7.05%,Focused Fund
Consumer Services,,6.70%,Focused Fund
Financial Services,,31.89%,Focused Fund
Capital Goods,,15.60%,Focused Fund
Information Technology,,9.39%,Focused Fund
Healthcare,,8.76%,Focused Fund
Automobile and Auto Components,,8.27%,Focused Fund
Financial Services,,29.31%,Focused Fund
Information Technology,,13.23%,Focused Fund
Capital Goods,,10.80%,Focused Fund
Automobile and Auto Components,,8.53%,Focused Fund
Construction,,6.67%,Focused Fund
Financial Services,,32.64%,Focused Fund
Healthcare,,8.77%,Focused Fund
Capital Goods,,7.58%,Focused Fund
Information Technology,,7.51%,Focused Fund
Construction,,6.02%,Focused Fund
Financial Services,,35.73%,Focused Fund
Healthcare,,12.94%,Focused Fund
Current Assets,,12.07%,Focused Fund
Realty,,7.63%,Focused Fund
Power,,7.15%,Focused Fund
Financial Services,,31.00%,Focused Fund
Information Technology,,12.45%,Focused Fund
"Oil, Gas & Consumable Fuels",,9.11%,Focused Fund
Construction,,8.29%,Focused Fund
Capital Goods,,8.02%,Focused Fund
Financial Services,,20.11%,Focused Fund
Healthcare,,15.27%,Focused Fund
Capital Goods,,10.69%,Focused Fund
Consumer Services,,6.42%,Focused Fund
Automobile and Auto Components,,6.41%,Focused Fund
Financial Services,,29.25%,Focused Fund
Information Technology,,12.71%,Focused Fund
Consumer Services,,10.05%,Focused Fund
Healthcare,,10.03%,Focused Fund
Construction,,9.08%,Focused Fund
Financial Services,,22.23%,Focused Fund
Capital Goods,,20.11%,Focused Fund
Automobile and Auto Components,,10.86%,Focused Fund
Construction,,6.99%,Focused Fund
Information Technology,,6.05%,Focused Fund
Financial Services,,18.77%,Focused Fund
Automobile and Auto Components,,16.04%,Focused Fund
Capital Goods,,10.59%,Focused Fund
Consumer Services,,8.84%,Focused Fund
Information Technology,,5.91%,Focused Fund
Financial Services,,25.85%,Focused Fund
Automobile and Auto Components,,10.41%,Focused Fund
Capital Goods,,10.29%,Focused Fund
Information Technology,,9.05%,Focused Fund
Healthcare,,7.70%,Focused Fund
Financial Services,,34.55%,Focused Fund
Fast Moving Consumer Goods,,17.54%,Focused Fund
Information Technology,,10.63%,Focused Fund
Automobile and Auto Components,,8.93%,Focused Fund
Consumer Durables,,6.99%,Focused Fund
Financial Services,,24.00%,Focused Fund
"Oil, Gas & Consumable Fuels",,13.68%,Focused Fund
Information Technology,,10.79%,Focused Fund
Fast Moving Consumer Goods,,7.88%,Focused Fund
Automobile and Auto Components,,5.73%,Focused Fund
Financial Services,,37.44%,Focused Fund
Information Technology,,10.62%,Focused Fund
"Oil, Gas & Consumable Fuels",,8.38%,Focused Fund
Consumer Services,,8.00%,Focused Fund
Automobile and Auto Components,,5.78%,Focused Fund
Financial Services,,39.72%,Focused Fund
Consumer Services,,12.30%,Focused Fund
Information Technology,,9.87%,Focused Fund
Capital Goods,,8.50%,Focused Fund
Automobile and Auto Components,,8.10%,Focused Fund
Financial Services,,35.79%,Focused Fund
Information Technology,,11.36%,Focused Fund
Consumer Services,,10.49%,Focused Fund
Capital Goods,,7.61%,Focused Fund
Automobile and Auto Components,,6.74%,Focused Fund
Financial Services,,20.24%,Focused Fund
"Oil, Gas & Consumable Fuels",,18.96%,Focused Fund
Fast Moving Consumer Goods,,18.31%,Focused Fund
Power,,13.14%,Focused Fund
Healthcare,,12.63%,Focused Fund
Financial Services,,42.34%,Focused Fund
Telecommunication,,9.77%,Focused Fund
Fast Moving Consumer Goods,,9.21%,Focused Fund
Services,,9.14%,Focused Fund
Healthcare,,5.33%,Focused Fund
Financial Services,,31.26%,Focused Fund
Information Technology,,12.63%,Focused Fund
Consumer Services,,12.61%,Focused Fund
